Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Amini H., Minca A.","34871233800;55065374600;","Mathematical Modeling of Systemic Risk",2013,"Mathematics in Industry","18",,,"3","26",,6,"10.1007/978-3-642-30904-5_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003802155&doi=10.1007%2f978-3-642-30904-5_1&partnerID=40&md5=e69cf801456c1bcaebc5c01371331995","EPFL, Lausanne, Switzerland; ORIE Department, Cornell University, Ithaca, NY, United States","Amini, H., EPFL, Lausanne, Switzerland; Minca, A., ORIE Department, Cornell University, Ithaca, NY, United States","Since the onset of the financial crisis in 2007, more than 370 of the almost 8,000 US banks insured by the Federal Deposit Insurance Corporation have failed. By comparison, between 2000 and 2004 there were around 30 failures and no failures occurred between 2005 and the beginning of 2007. © 2012, Springer-Verlag Berlin Heidelberg.","Balance Sheet; Degree Sequence; Financial Network; Giant Component; Random Graph",,"Minca, A.; ORIE Department, United States; email: acm299@cornell.edu",,"Springer Medizin",16123956,,,,"English","Math. Industry",Book Chapter,"Final","",Scopus,2-s2.0-85003802155
"Cummins J.D., Weiss M.A.","24602300600;7404317226;","Systemic risk and the insurance industry",2013,"Handbook of Insurance: Second Edition",,,,"745","793",,5,"10.1007/978-1-4614-0155-1_27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995932955&doi=10.1007%2f978-1-4614-0155-1_27&partnerID=40&md5=6be4530f6c6818601e94c29e78b517d0","Department of Risk, Insurance, and Healthcare Management, Temple University, Alter Hall, 006-00, 1801 Liacouras Walk, Philadelphia, PA  19122, United States","Cummins, J.D., Department of Risk, Insurance, and Healthcare Management, Temple University, Alter Hall, 006-00, 1801 Liacouras Walk, Philadelphia, PA  19122, United States; Weiss, M.A., Department of Risk, Insurance, and Healthcare Management, Temple University, Alter Hall, 006-00, 1801 Liacouras Walk, Philadelphia, PA  19122, United States","This chapter examines the potential for the US insurance industry to cause systemic risk events that spill over to other segments of the economy. We examine primary indicators that determine whether institutions are systemically risky as well as contributing factors that exacerbate vulnerability to systemic events. Evaluation of systemic risk is based on a detailed financial analysis of the insurance industry, its role in the economy, and the interconnectedness of insurers. The primary conclusion is that the core activities of US insurers do not pose systemic risk. However, life insurers are vulnerable to intra-sector crises; and both life and property-casualty insurers are vulnerable to reinsurance crises arising from counterparty credit risk. Noncore activities such as financial guarantees and derivatives trading may cause systemic risk, and interconnectedness among financial institutions has grown significantly in recent years. To reduce systemic risk from noncore activities, regulators need to continue efforts to strengthen mechanisms for insurance group supervision, particularly for multinational groups. © Springer Science+Business Media New York 2013. All rights reserved.",,,"Cummins, J.D.; Department of Risk, Alter Hall, 006-00, 1801 Liacouras Walk, United States; email: cummins@temple.edu",,"Springer New York",,9781461401551; 9781461401544,,,"English","Handb. of Insur.: Second Ed.",Book Chapter,"Final","",Scopus,2-s2.0-84995932955
"De La Orden De La Cruz M.D.C.","56042221700;","The financial communication in times of crisis: The case of ""bad banks"". [La comunicación financiera en tiempos de crisis: el caso de los ""bancos malos""]",2013,"Ilu","18",,,"813","822",,,"10.5209/rev_HICS.2013.v18.44010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989903994&doi=10.5209%2frev_HICS.2013.v18.44010&partnerID=40&md5=1b78a180ad140479756baa1759785ab2","Universidad Rey Juan Carlos de Madrid, Spain","De La Orden De La Cruz, M.D.C., Universidad Rey Juan Carlos de Madrid, Spain","The crisis has had a very strong cost for citizens who do not understand their origins or solutions by low financial literacy. There are not reliable and comprehensive sources where they learn and if they want to learn more broadly, they have to go to specialized media using complicated technical jargon. The case of the so-called ""bad bank"" is an example of this situation, a sense that, a priori, has a negative meaning, when in fact it is a positive response to a problem in the banking sector. This paper addresses this solution that the citizen should know.","Bad bank; Banking crisis; Communication to the citizens; Financial culture; Systemic risk",,"De La Orden De La Cruz, M.D.C.; Universidad Rey Juan Carlos de MadridSpain; email: carmen.delaorden@urjc.es",,"Universidad Complutense de Madrid",11354712,,,,"Spanish","Ilu",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84989903994
"Klein R.W.","7404358176;","Insurance market regulation: Catastrophe risk, competition, and systemic risk",2013,"Handbook of Insurance: Second Edition",,,,"909","939",,13,"10.1007/978-1-4614-0155-1_31","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988469825&doi=10.1007%2f978-1-4614-0155-1_31&partnerID=40&md5=668849bc235bd0e0975bd44d63c15f83","Department of Risk Management and Insurance, Georgia State University, P.O. Box 4036, Atlanta, GA  30302-4036, United States","Klein, R.W., Department of Risk Management and Insurance, Georgia State University, P.O. Box 4036, Atlanta, GA  30302-4036, United States","Insurance regulation has long been a subject of considerable interest to academics, policymakers, and other stakeholders in the insurance industry. Among the areas explored by academics over the years, there are three topics of particular importance that have significant implications for the regulation of insurance companies and markets: (1) catastrophe risk, (2) competition, and (3) systemic risk. This chapter provides an overview of insurance regulation and discusses key issues that it faces and how it has responded to these issues including the role of competition, increasing catastrophe risk, and the reemergence of systemic risk in financial markets and its implications for insurance regulation. © Springer Science+Business Media New York 2013. All rights reserved.",,,"Klein, R.W.; Department of Risk Management and Insurance, P.O. Box 4036, United States; email: rwklein@bellsouth.net",,"Springer New York",,9781461401551; 9781461401544,,,"English","Handb. of Insur.: Second Ed.",Book Chapter,"Final","",Scopus,2-s2.0-84988469825
"Risk Management Institute","","Global credit review",2013,"Global Credit Review","3",,,"1","168",,,"10.1142/8966","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967520816&doi=10.1142%2f8966&partnerID=40&md5=f94c19f4a9a35906d6c2abd8adb880d1","Singapore, Singapore","Risk Management Institute","Global Credit Review is an annual publication that provides an overview of the most important developments in global credit markets and the regulatory landscape. The third volume provides some critical analysis, reviews the introduction of new regulations and also offers new insights to address the challenges ahead. The carefully selected chapters touch on current topics such as: the measurement of systemic risk, reserve requirements and its role in monetary policy, the application of the Basel II default definition by credit risk assessment systems, and changes in credit portfolio management, amongst others. Recent evolutions of the Risk Management Institute's Credit Research Initiative are also reported, including a comprehensive overview of the technical details on the implementation of the current RMI-CRI corporate default prediction model. With its distinctive focus on topics related to credit markets and credit risk, this is an invaluable publication for finance professionals, policy makers and academics with an interest in credit markets. © 2014 by World Scientific Publishing Co. Pte. Ltd. and Risk Management Institute, National University of Singapore. All rights reserved.",,,,,"World Scientific Publishing Co.",,9789814566148; 9789814566131,,,"English","Global Credit Review",Book,"Final","",Scopus,2-s2.0-84967520816
"Jondeau E., Rockinger M.","6602645875;6602901065;","Systemic risk in Europe",2013,"Global Credit Review","3",,,"1","6",,2,"10.1142/9789814566148_0001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967425042&doi=10.1142%2f9789814566148_0001&partnerID=40&md5=1a8aa08580012bc69bc9f492a5e853fd","Institute of Banking and Finance, University of Lausanne, Swiss Finance Institute, Switzerland","Jondeau, E., Institute of Banking and Finance, University of Lausanne, Swiss Finance Institute, Switzerland; Rockinger, M., Institute of Banking and Finance, University of Lausanne, Swiss Finance Institute, Switzerland",[No abstract available],"correlation; Marginal expected shortfall; Multifactor model; Systemic risk; Volatility",,"Rockinger, M.; Institute of Banking and Finance, Switzerland; email: michael.rockinger@unil.ch",,"World Scientific Publishing Co.",,9789814566148; 9789814566131,,,"English","Global Credit Review",Book Chapter,"Final","",Scopus,2-s2.0-84967425042
"Chauhan G.S., Rastogi S.K.","57189043050;56865464900;","Can systemic risk shifting of banks be checked by subordinate debt and deposit insurance? A game theoretic approach",2013,"International Journal of Economic Perspectives","7","4",,"30","45",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964879367&partnerID=40&md5=72b41302464dd12d419be0d4347ea48a","Indian Institute of Management Indore, India","Chauhan, G.S., Indian Institute of Management Indore, India; Rastogi, S.K., Indian Institute of Management Indore, India","We present a model of multiple banks with endogenous risk choices in an economy, where delegated monitoring by an active market in subordinate debt helps in containing systemic risk shifting by banks. Ex ante anticipation of greater regulatory forbearance, in case of joint failures, incentivize banks to keep their portfolios highly concentrated so as to succeed and fail simultaneously. However, when depositors are insured, regulatory forbearance is minimal and banks do not have incentives for failing together. Also, subordinate debt can penalize banks for increasing asset correlations since the payoffs to the subordinate debt are negatively influenced by higher correlations. The featuring of deposit insurance along with subordinate debt incentivizes banks to choose lower asset correlations among themselves as their respective optimal strategies. Therefore, the choice of lower asset correlations by the banks mutually represents a Nash equilibrium with reduced systemic risk endogenously. © International Economic Society.","Deposit insurance; Market discipline; Risk monitoring; Risk shifting; Subordinate debt; Systemic risk",,"Chauhan, G.S.; Indian Institute of Management IndoreIndia; email: f08gauravc@iimidr.ac.in",,"International Economic Society",13071637,,,,"English","Int. J. Econ. Perspect.",Article,"Final","",Scopus,2-s2.0-84964879367
"Beyhaghi M., Hawley J.P.","55853893000;7102456841;","Modern portfolio theory and risk management: assumptions and unintended consequences",2013,"Journal of Sustainable Finance and Investment","3","1",,"17","37",,14,"10.1080/20430795.2012.738600","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958937371&doi=10.1080%2f20430795.2012.738600&partnerID=40&md5=d5400142babaf9782745d5500c711021","Schulich School of Business, York University, Toronto, ON  M3J 1P3, Canada; Elfenworks Center for the Study of Fiduciary Capitalism, School of Economics and Business, Saint Mary's College of California, Moraga, CA  94575, United States","Beyhaghi, M., Schulich School of Business, York University, Toronto, ON  M3J 1P3, Canada; Hawley, J.P., Elfenworks Center for the Study of Fiduciary Capitalism, School of Economics and Business, Saint Mary's College of California, Moraga, CA  94575, United States","This article presents an overview of the assumptions and unintended consequences of the widespread adoption of modern portfolio theory (MPT) in the context of the growth of large institutional investors. We examine the many so-called risk management practices and financial products that have been built on MPT since its inception in the 1950s. We argue that the very success due to its initial insights had the unintended consequence, given its widespread adoption, of contributing to the undermining the foundation of the financial system in a variety of ways. This study has relevance for both the ongoing analyses of the recent financial crisis, as well as for various existing and proposed financial reforms. © 2013, Copyright Taylor & Francis Group, LLC.","benchmarking; contagion; efficient market hypothesis; financial crisis; financial reforms; investor herding; modern portfolio theory; risk management; systemic risk",,"Hawley, J.P.; Elfenworks Center for the Study of Fiduciary Capitalism, United States; email: jhawley@stmarys-ca.edu",,"Taylor and Francis Ltd.",20430795,,,,"English","Journal of Sustain. Finance Invest.",Article,"Final","",Scopus,2-s2.0-84958937371
"Organisation for Economic Cooperation and Development (OECD)","","International regulatory co-operation: Addressing global challenges",2013,"International Regulatory Co-operation: Addressing Global Challenges","9789264200463",,,"1","156",,3,"10.1787/9789264200463-en","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957758267&doi=10.1787%2f9789264200463-en&partnerID=40&md5=7668e17dec978c71180339c855f572b7",,"Organisation for Economic Cooperation and Development (OECD)","With the progressive emergence of an open, dynamic and globalised economy, the internationalisation of rules has become a critical issue. Governments increasingly seek to maximise the benefits of globalisation for national populations by eliminating unnecessary regulatory divergences and barriers, and ensuring greater co-ordination of regulatory objectives. At the same time, intensification of global challenges, such as those pertaining to systemic risks (financial markets), the environment (air or water pollution), and human health and safety, is leading to growing regulatory co-operation efforts as a key component of risk management strategies across borders. Regulatory co-operation is not a new topic (OECD, 1994). However, renewed attention has been paid to its importance since the economic crisis began in 2008. Perceived regulatory failures related to poor articulation of regulation across borders, limited enforcement of rules and regulatory capture have raised questions regarding the role of the state as a regulator and, specifically, how and where it should intervene to achieve key policy objectives in an increasingly globalised world. The gains that can be achieved through greater co-ordination of rules and their application across jurisdictions remain largely untapped and underanalysed. Consensus has grown among countries over the years on the elements of ""good"" regulation at domestic level, culminating in 2012 with Council's approval of the Recommendation on Regulatory Policy and Governance. By contrast, the potential of international regulatory cooperation (IRC) to transfer good regulatory practices, to make markets function better, to level the playing field, to reduce costs, to manage global goods and risks better and to generate substantial benefits for business and the public has not been explored systematically. Despite its potential and the fact that the OECD and others have accumulated a large body of experience in fostering regulatory co-operation in a number of specific areas, including environment, competition, consumer protection and tax, this vast body of (mostly qualitative) knowledge has yet to be synthesised and analysed to provide useful lessons. This report is a unique attempt to gather in a synthetic but systematic manner, the knowledge and evidence available to date on IRC. This report reviews the available evidence on IRC drawn from a literature review, a survey to OECD countries and case studies of specific IRC experiences and lays the foundation for further work on IRC. Chapter 1 systematically defines and documents a wide range of IRC mechanisms and highlights a number of prevailing trends in the internationalisation of regulation, laying the foundation for the development of a typology. Chapter 2 reviews the benefits, challenges and costs of IRC and highlights the critical conditions of success, laying the foundations for the development of a checklist to support governments' efforts in identifying adequate forms of IRC in a specific context and in developing and strengthening successful co-operation. The areas where further work is needed are elaborated upon in the conclusion. The review of evidence confirms the increased internationalisation of regulation, which takes place through a wide variety of IRC mechanisms and multiple actors. Today, governments use and combine a broad range of formal and informal, broad and specific IRC mechanisms to achieve their co-operation objectives. In a given policy area, there can be different forms of IRC. The strengthening of IRC is accompanied by a multiplication of state and non-state actors with regulatory powers, i.e. different levels of government and public agencies and private national and international stakeholders. As a result, countries are embedded in webs of regulatory cooperation that go beyond the traditional treaty-based model of international relations, to encompass transgovernmental networks involving multiple actors with sometimes limited oversight or monitoring by the centre of government. To keep pace with the need to regulate across borders, the nature of IRC has changed from complete ""harmonisation"" of regulation (i.e. uniformity of laws) to more flexible options - such as mutual recognition agreements. This shift is partly due to the recognition that frictions generated by regulatory divergences result as much from diverging enforcement and implementation efforts as from differences in the regulations and standards themselves. Consequently, harmonisation of rules will address only one aspect of regulatory divergences. The understanding that regulatory co-operation needs to encompass all phases of the policy cycle is growing and with it the recognition that flexible mechanisms need to be put in place to address implementation challenges and to anticipate forthcoming issues. In this context, soft law and informal co-operation - such as dialogue between regulators and exchange of information - Are becoming more important in promoting regulatory co-operation, generally in support or in anticipation of more binding processes, and as a flexible tool to address emerging global issues. Similarly, the trend is towards the development of supporting international organisations that provide a platform for continuous discussions. Despite growing regulatory co-operation, decision making on IRC remains mainly guided by political considerations and is not informed by a clear understanding of benefits, costs and success factors of the diverse IRC options. In some areas, co-operation has led to obvious successes. Experience accumulated in chemical safety, for example, shows that the use of harmonised approaches and instruments leads to important savings for governments and industries, while allowing greater achievement of public policy objectives. Most cases of successful co-operation have, however, tended to develop in an ad hoc manner, along ""paths of least resistance"", and without following general principles of good regulatory governance. There is no overall and cross-country consensus yet on the language used in relation to IRC, or on the range and definition of the different mechanisms in the hands of policy makers to promote IRC. The quantitative evidence on the benefits and costs of IRC remains scant. Changing language and anecdotal evidence generate uncertainty with regards to the benefits and costs of regulatory co-operation and prevent systematic and rational decision making on IRC. The shortcomings and gaps in policy making related to IRC call for further analytical work and guidance for which the OECD Regulatory Policy Committee is well positioned to provide useful inputs. While most countries acknowledge the importance and potential value of IRC, very few have started considering and mainstreaming issues of international co-operation into their regulatory process. More could be done in support of country efforts to identify the range of existing IRC mechanisms, to assess the benefits, costs and challenges of IRC in specific sectors and situations, and to strengthen IRC following good regulatory policy principles. Similarly, the emergence of new actors with regulatory powers on the international scene has been mostly spontaneous, and has not necessarily been matched with corresponding good regulatory practices. As an example, while transnational private regulation plays a growing role, governments have limited systematic tools at their disposal to evaluate when and under which conditions transnational private regulation might be a preferable regulatory option. Similarly, while international organisations play a growing role in supporting IRC, the extent to which they do so while following good regulatory policy practices is unclear. © OECD 2013.",,,,,"Organisation for Economic Cooperation and Development (OECD)",,9789264200463; 9789264200463,,,"English","Intl. Regulatory Co-operation: Addressing Global Chall.",Book,"Final","",Scopus,2-s2.0-84957758267
"Jácome L.I.","12771824000;","Políticas macroprudenciales en la América Latina: Fundamentos institucionales",2013,"Trimestre Economico","80","320",,"723","770",,1,"10.20430/ete.v80i320.102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948435008&doi=10.20430%2fete.v80i320.102&partnerID=40&md5=d7c71891bafbff275a3cc993fb7a7046","Fondo Monetario Internacional, Centro de Estudios de América Latina, Universidad de Georgetown, United States","Jácome, L.I., Fondo Monetario Internacional, Centro de Estudios de América Latina, Universidad de Georgetown, United States","One of the legacies of the financial crisis in the United States and Europe is the adoption of macroprudential policies in an increasing number of countries, including in Latin America. These policies aim to prevent future financial crises through the adoption of far-reaching reforms that involve changing the institutional framework for monetary and financial policies, using models and indicators to monitor the buildup of systemic risks, and utilizing instruments designed to prevent the materialization of those risks. The objective of this paper is to examine the institutional aspects of macroprudential policy in Latin America. In particular, it assesses the strengths and weaknesses of existing institutional models and offers suggestions to improve the effectiveness of those models. The analysis focuses on the two main institutional arrangements that exist in this region, the ""Pacific"" model which includes countries like Chile, Colombia, Peru, Costa Rica and Mexico, and the ""Atlantic"" model, which includes countries such as Argentina, Brazil and Uruguay.",,,"Jácome, L.I.; Fondo Monetario Internacional, United States; email: LJacome@imf.org",,"Fondo de Cultura Economica",00413011,,,,"Spanish","Trimest. Econ.",Review,"Final","All Open Access, Green",Scopus,2-s2.0-84948435008
"Ciro T.","56128791100;","The global financial crisis: Triggers, responses and aftermath",2013,"The Global Financial Crisis: Triggers, Responses and Aftermath",,,,"1","251",,9,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938576839&partnerID=40&md5=70431c3e3c05dd7d8f1a8ed10c674625","Australian Catholic University, Australia","Ciro, T., Australian Catholic University, Australia","This book offers commentary and analysis on the catastrophic events which have recently confronted the international economy in the modern era and contrasts the current situation with other financial crises. It includes case studies on Lehman Brothers in the US, Babcock & Brown in Australia, and Northern Rock in the UK. Asking many pertinent questions about the causes of the crisis and its effects, the book explores fundamental themes such as: asset bubbles and speculation in the financial and non-financial markets, systemic risks and the role of regulation, and regulators. It also reviews the response of international institutions such as the IMF, the World Bank, the US Federal Reserve, the EU Central Bank and the G20. The book assesses the triggers of the crisis and evaluates rescue packages and policy responses as well as suggesting reform of regulatory and supervisory frameworks to maintain banking and modern financial systems in the future. © Tony Ciro 2012. All rights reserved.",,,"Ciro, T.; Australian Catholic UniversityAustralia",,"Ashgate Publishing Ltd",,9781409411406; 9781409411390,,,"English","The Global Financial Crisis: Triggers, Responses and Aftermath",Book,"Final","",Scopus,2-s2.0-84938576839
"McCarty N.","7003635832;","Complexity, capacity, and capture",2013,"Preventing Regulatory Capture: Special Interest Influence and How to Limit it",,,,"99","123",,25,"10.1017/CBO9781139565875.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928048469&doi=10.1017%2fCBO9781139565875.009&partnerID=40&md5=ec15ea5ac4076f7c887e92477154fdfe","Woodrow Wilson School of Public and International Affairs, United States","McCarty, N., Woodrow Wilson School of Public and International Affairs, United States","INTRODUCTION In the debates on financial market reform that followed the Financial Crisis of 2007 and the Great Recession, reformers advocated three distinct approaches. Some argued that governments should act to fundamentally restructure the financial sector. Large banks should be broken up. Investment and commercial banks should be separated as they had been under the Glass-Steagall reforms of the 1930s (or at least the investment activity of commercial banks should be drastically restricted). Limits on the types of financial products that could be marketed and taxes on financial transactions were promoted. Opponents of government intervention positioned themselves at the opposite position. They argued that a government-led reconstruction of the financial marketplace would be counterproductive, if not futile. Such actions would impede financial innovation and restrict credit and liquidity. At most, according to this view, reform should get the taxpayer off the hook for the failure of financial firms. The middle ground in this debate was held by those who argued that the basic structure of the financial sector should remain intact but that the capacity and powers of regulatory agencies should be enhanced to better monitor the sector for systemic risks, financial fraud, and predatory lending practices. The middle ground, reflected in the Dodd-Frank financial reform bill, appears to have won out. © The Tobin Project 2014.",,,"McCarty, N.; Woodrow Wilson School of Public and International AffairsUnited States",,"Cambridge University Press",,9781139565875; 9781107036086,,,"English","Preventing Regulatory Capture: Special Interest Influence and How to Limit it",Book Chapter,"Final","",Scopus,2-s2.0-84928048469
"Box J.A.R., Moreno V.M., Urena L.J.B.","56530389000;52564194800;57191489504;","Analysis of survival as a tool for detection of systemic risks in decision-making: A proposed theoretical model for Spanish credit cooperative sector",2013,"Actual Problems of Economics","148","10",,"464","475",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923675492&partnerID=40&md5=209f9a15a4d80bf9ac1a0b13e4b63e09","University of Granada, Spain; University of Almeria, Spain","Box, J.A.R., University of Granada, Spain; Moreno, V.M., University of Granada, Spain; Urena, L.J.B., University of Almeria, Spain","In the literature on cooperative financial system it is needed to undertake empirical studies to provide evidence on systemic risk and the factors that cause it. This paper discusses how the important process of restructuring the financial system, following the tough economic and financial crisis in late 2007, has triggered ongoing regulatory changes which have led to the adaptation of the entire financial system. In the case of credit cooperatives, the new economic and regulatory environment has resulted in numerous mergers and cooperative group membership as a way to ensure their survival. That is why the aim of this paper is to provide a preventive tool that allows the analysis of the survival of these entities. In practice, after analysing sector balance sheets from 2007 to the first quarter of 2012, the theoretical application of the work of Kaplan-Meier and Cox regression model allowed us identify the variables that explain the processes of sector concentration in Spain. © Jose Antonio Rubino Box, Valentin Molina Moreno, Luis Jesus Belmonte Urena, 2013.","Credit unions; Restructuring of Spanish financial system; Survival analysis model; Systemic risk",,,,,19936788,,,,"English","Actual Probl. Econ.",Article,"Final","",Scopus,2-s2.0-84923675492
"Zhang Y.-L., Frangos J.A., Chachisvilis M.","36191542400;7007060615;6603603940;","Mechanotransduction by membrane-mediated activation of g-protein coupled receptors and g-proteins",2013,"Cellular Mechanotransduction: Diverse Perspectives from Molecules to Tissues","9780521895231",,,"89","119",,2,"10.1017/CBO9781139195874.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923396540&doi=10.1017%2fCBO9781139195874.005&partnerID=40&md5=7e643a424abae4636b872799eef8762b","La Jolla Bioengineering Institute, La Jolla, CA, United States","Zhang, Y.-L., La Jolla Bioengineering Institute, La Jolla, CA, United States; Frangos, J.A., La Jolla Bioengineering Institute, La Jolla, CA, United States; Chachisvilis, M., La Jolla Bioengineering Institute, La Jolla, CA, United States","Introduction. Atherosclerosis, the leading cause of death in the Western world and nearly the leading cause in other developing countries, is associated with systemic risk factors such as hypertension, smoking, diabetes mellitus, and hyperlipidemia (Malek et al., 1999a). Nonetheless, it is clearly a focal disease with atherosclerotic lesions forming in the coronary arteries, major branches of the aortic arch, and the abdominal aorta. Plaque formation preferentially involves the outer walls of vessel bifurcations and points of blood flow recirculation, where hemodynamic shear stress is weaker than in unaffected areas. Detailed analysis of fluid mechanics in these areas revealed a strong spatial correlation between endothelial dysfunction/plaque formation and low mean shear stress and oscillatory flow with recirculation (Nerem, 1992; Malek et al., 1999a). It has been suggested that low mean shear stress and nonlaminar flow stimulate the formation of an atherogenic phenotype (Gibson et al., 1993; Ku et al., 1985) while arterial level shear stress (≥15 dynes/cm2) stimulates atheroprotective gene expression profile and cellular responses that are essential for normal endothelial function (Harrison, 2005; Cunningham and Gotlieb, 2005), implying that the maintenance of physiological, laminar shear stress on endothelial cells is crucial for normal vascular function (Traub and Berk, 1998). The development of atherogenesis can be studied at various levels; however, the origins of the disease have been linked to mechanosensing by a number of studies (Ku et al., 1985; Glagov et al., 1988; Svindland, 1983; Debakey et al., 1985; White et al., 2003), suggesting that investigations at the molecular level are required for further understanding of the atherogenesis. © Cambridge University Press 2010.",,"Blood vessels; Developing countries; Elasticity; Endothelial cells; Fluid mechanics; Gene expression; Physiological models; Proteins; Shear flow; Shear stress; Stresses; Atherosclerotic lesions; Endothelial dysfunction; Endothelial function; G protein coupled receptors; Gene expression profiles; Laminar shear stress; Mechanotransduction; Spatial correlations; Aluminum alloys","Zhang, Y.-L.; La Jolla Bioengineering InstituteUnited States",,"Cambridge University Press",,9781139195874; 9780521895231,,,"English","Cellular Mechanotransduction: Diverse Perspectives from Molecules to Tissues",Book Chapter,"Final","",Scopus,2-s2.0-84923396540
"McKinstry L.","56396785400;","Regulating a global market: The extraterritorial challenge of Dodd-Frank's margin requirements for uncleared OTC derivatives & a mutual recognition solution",2013,"Columbia Journal of Transnational Law","51","3",,"776","832",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908303793&partnerID=40&md5=4f07d3ed152badf4f7397a31ddb99dff",,"McKinstry, L.","The OTC derivatives market is fluid, global and characterized by cross-border transactions. Title VII of the Dodd-Frank Act aims to reduce systemic risk inherent in this market, which exacerbated the 2008 financial crisis, by imposing various requirements upon market participants, including margin requirements on uncleared OTC derivatives. Margin requirements protect against potential losses from counterparty default by requiring parties to exchange payments as collateral for their obligations under a derivative contract. Yet because much of the OTC market consists of cross-border transactions, which implicate multiple regulatory regimes, inadequate coordination with other jurisdictions could lead to regulatory arbitrage, gaps or conflicts and undermine the goals of this regulatory requirement. Moreover, the extraterritoriality provisions of Title VII, as analyzed in light of recent case law, indicate that the jurisdictional scope of Dodd-Frank's margin requirements may be ambiguous and uneven. To avoid the dangers of inconsistent regulatory standards, minimize legal uncertainty and reduce systemic risk in the OTC derivatives market, foreign and domestic regulators should strive for application of comparable domestic margin regimes to cross-border uncleared OTC derivatives contracts in the context of mutual recognition. Mutual recognition is a method of international regulatory coordination that entails an agreement among two or more countries to recognize the adequacy of each other's regulation as an equivalent substitute for their own.",,,"McKinstry, L.",,"Columbia Law Review Association",00101931,,,,"English","Columbia J. Transnatl. Law",Article,"Final","",Scopus,2-s2.0-84908303793
"De Virgilio A., Greco A., Gallo A., Martellucci S., Conte M., de Vincentiis M.","32367480800;56214842200;57210522681;22968216000;24288327500;7004978263;","Tracheostomal stenosis clinical risk factors in patients who have undergone total laryngectomy and adjuvant radiotherapy.",2013,"European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery","270","12",,"3187","3189",,4,"10.1007/s00405-013-2695-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907947838&doi=10.1007%2fs00405-013-2695-6&partnerID=40&md5=1cfc4859355831e1cb170ca2d83b5b8b","ENT Section, Department of Sensory Organs, Sapienza University of Rome, Viale del Policlinico 155, Rome, 00100, Italy","De Virgilio, A., ENT Section, Department of Sensory Organs, Sapienza University of Rome, Viale del Policlinico 155, Rome, 00100, Italy; Greco, A.; Gallo, A.; Martellucci, S.; Conte, M.; de Vincentiis, M.","Adjuvant chemotherapy, advanced age, smoking, cardiopathies, diabetes, local infections, impaired immunocompetence, and malnutrition are potential cofactors in the genesis of aberrant wound healing and may thus play an important role in the genesis of tracheostomal stenosis. The aim of the study is to analyse the influence of the above-mentioned local and systemic risk factors in determining tracheostomal stenosis in patients who have undergone total laryngectomy and adjuvant radiotherapy. In 79 % of the cases, tracheostomal stenosis occurred within 12 months of surgery. Diabetes mellitus and local infection were the only factors that showed a statistically significant difference according to univariate and multivariate analysis. Diabetes mellitus and the related tracheostomal infection may be considered as risk factors for TS in patients who have undergone total laryngectomy and adjuvant radiotherapy.",,"adjuvant therapy; aged; article; female; human; laryngectomy; larynx tumor; male; middle aged; non insulin dependent diabetes mellitus; prevalence; retrospective study; risk factor; surgical infection; trachea stenosis; tracheostomy; Aged; Diabetes Mellitus, Type 2; Female; Humans; Laryngeal Neoplasms; Laryngectomy; Male; Middle Aged; Prevalence; Radiotherapy, Adjuvant; Retrospective Studies; Risk Factors; Surgical Wound Infection; Tracheal Stenosis; Tracheostomy","De Virgilio, A.email: armando.devirgilio@gmail.com",,,14344726,,,"24057098","English","Eur Arch Otorhinolaryngol",Article,"Final","",Scopus,2-s2.0-84907947838
