Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour,bib_src
154-393-675-531-016,Insider perspectives on European banking challenges in the post-crisis regulation environment,2018-08-01,2018.0,journal article,Journal of Banking Regulation,17456452; 17502071,Springer Science and Business Media LLC,United States,Yiannis Anagnostopoulos; Jackie Kabeega,"The purpose of this paper is to make a highly topical and practical contribution by investigating the interplay between capital and liquidity risk management and managerial decision making in banking, following the Basel III introduction for enhancing the safeguards against systemic risk. Specifically, we attempt to gauge the experience and assess the degree of tensions among banking practitioners’ perspectives on the reformed banking liquidity practice and risk-capital management in light of the newly introduced increased capital and liquidity requirements, which are to become fully and unilaterally effective as of 2019. As currently seen the liquidity provision requirement has become a distinct form of ‘sharing’ financial risks in the global economy, which includes the supply of capital from its issuers. This article reviews the issue from a European perspective attempting to gain insight into: (1) the suggestion that the new regulations lack internal consistency owed to their complexity, which creates the potential for both inter- and intra-company regulatory capital arbitrage and credit constriction; and (2) the suggestion that increased capital and liquidity requirements may have a significant impact on bank behaviour and/or certain business model segments. Both of the above can potentially distort managerial behaviour through altering managerial incentives and hence fail to adequately regulate bank behaviour. With regard to the liquidity requirements, whilst we do not attempt to quantifiably assess the degree to which liquidity regulations (the liquidity coverage ratio in particular—LCR henceforth) affect returns on equity/assets to banks, our interviews are used as a triangulating measure for complementing quantitative studies that can provide a further insight into the perception of affecting managerial incentives. We aim to add to, update, and enrich the studies around the vital research question of whether the new regulation and liquidity standards can achieve their ultimate objective of upholding financial soundness and stability. Therefore, this research is important to complete the extant literature on updated insiders’ perspectives that investigate the effectiveness of the new regulatory framework imminently to be fully applicable by 2019. Where the views of the professionals who have voiced their concerns, support, and/or proposals provide for a material contribution, these have also been provided.",20,2,136,158,Accounting; Business; Systemic risk; Market liquidity; Liquidity risk; Equity (finance); Basel III; Capital requirement; Business model; Financial risk,,,,,https://eprints.kingston.ac.uk/id/eprint/41839/ https://ideas.repec.org/a/pal/jbkreg/v20y2019i2d10.1057_s41261-018-0076-1.html https://rd.springer.com/article/10.1057/s41261-018-0076-1 https://link.springer.com/content/pdf/10.1057%2Fs41261-018-0076-1.pdf https://core.ac.uk/download/161097729.pdf,http://dx.doi.org/10.1057/s41261-018-0076-1,,10.1057/s41261-018-0076-1,2887853171,,0,001-465-039-790-414; 005-272-055-082-80X; 006-720-773-417-435; 012-096-907-574-534; 017-786-317-483-827; 018-392-325-202-807; 019-169-263-065-505; 020-591-485-550-302; 027-401-395-869-648; 027-756-794-397-097; 028-664-312-546-140; 036-982-805-956-950; 038-215-157-008-201; 038-424-712-943-751; 040-279-794-996-710; 044-146-030-414-713; 046-141-661-686-408; 046-459-669-048-363; 046-989-890-031-120; 050-337-097-629-46X; 056-391-567-168-027; 056-393-642-848-954; 059-619-584-086-506; 065-372-061-682-574; 066-282-114-278-944; 066-433-743-299-567; 066-571-230-436-226; 068-420-971-730-822; 068-847-264-689-149; 071-191-695-139-324; 074-039-325-848-37X; 080-122-833-955-467; 080-788-318-730-280; 085-938-812-017-66X; 086-300-327-787-373; 086-353-520-420-644; 088-953-595-650-024; 094-051-492-339-895; 095-406-833-810-742; 101-935-591-828-93X; 105-448-564-611-628; 119-471-702-234-087; 127-501-766-082-97X; 129-238-263-619-699; 134-509-841-140-827; 137-897-052-049-541; 138-034-838-553-451; 139-099-854-843-639; 139-396-775-665-572; 141-532-877-945-124; 158-236-571-423-535; 163-975-214-848-834; 168-809-691-072-790; 170-028-094-087-070; 171-344-399-453-458; 175-099-561-215-87X; 176-980-634-315-629,9,True,,green,lens
090-495-057-783-475,Risk measurement and systemic risk - opening remarks,,1995.0,,Research Papers in Economics,,,,Susan M. Phillips,,,,9,10,Risk analysis (engineering); Systemic risk; Intensive care medicine; Risk management; Medicine,,,,,https://ideas.repec.org/a/fip/fedgpr/y1995p9-10.html,https://ideas.repec.org/a/fip/fedgpr/y1995p9-10.html,,,1590959719,,0,,0,False,,,lens
161-306-455-034-339,Bank Holdings and Systemic Risk,2018-09-04,2018.0,,Research Papers in Economics,,,,Celso Brunetti; Jeffrey H. Harris; Shawn Mankad,"The recent financial crisis has focused attention on identifying and measuring systemic risk. In this paper, we propose a novel approach to estimate the portfolio composition of banks as function of daily interbank trades and stock returns. While banks? assets are reported to regulators and/or the public at relatively low frequencies (e.g. quarterly or annually), our approach estimates bank asset holdings at higher frequencies which allows us to derive precise estimates of (i) portfolio concentration within each bank?a measure of diversification?and (ii) common holdings across banks?a measure of market susceptibility to propagating shocks. We find evidence that systemic risk measures derived from our approach lead, in a forecasting sense, several commonly used systemic risk indicators.",,,,,Systemic risk; Economics; Diversification (finance); Asset (economics); Financial crisis; Portfolio; Portfolio composition; Monetary economics; Stock (geology),,,,,https://econpapers.repec.org/RePEc:fip:fedgfe:2018-63,https://econpapers.repec.org/RePEc:fip:fedgfe:2018-63,,,3123035782,,0,,3,False,,,lens
105-353-561-247-46X,Financial Consolidation: Dangers and Opportunities,1999-04-01,1999.0,,Research Papers in Economics,,,,Frederic S. Mishkin,"This paper argues that although financial consolidation creates some dangers because it is leading to larger institutions who might expose the U.S. financial system to increased systemic risk, these dangers can be handled by vigilant supervision and a government safety net with an appropriate amount of constructive ambiguity. Financial consolidation also opens up opportunities to dramatically reduce the scope of deposit insurance and limit it to narrow bank accounts, thus substantially reducing the moral hazard created by the government safety net. Reducing the scope of deposit insurance, however, does not eliminate the need for a government safety net, and thus there is still a strong need for adequate prudential supervision of the financial system. Moving to a world in which we have larger, nationwide, diversified financial institutions and in which deposit insurance plays a very limited role, should improve the efficiency of the financial system. However, it is no panacea: the job of financial regulators and supervisors will continue to be highly challenging in the future.",,,,,Finance; Business; Systemic risk; Government; Panacea (medicine); Consolidation (business); Deposit insurance; Safety net; Moral hazard; Scope (project management),,,,,https://econpapers.repec.org/paper/nbrnberwo/6655.htm,https://econpapers.repec.org/paper/nbrnberwo/6655.htm,,,3122150764,,0,,15,False,,,lens
111-910-107-536-591,The Regulation of Cryptocurrencies - Between a Currency and a Financial Product,,2018.0,journal article,SSRN Electronic Journal,15565068,Elsevier BV,,Hadar Yoana Jabotinsky,"As cryptocurrencies gain popularity, the issue of how to regulate them becomes more pressing. The attractiveness of cryptocurrencies is due in part to their decentralized, peer-to-peer structure. This makes them an alternative to national currencies which are controlled by central banks. Given that these cryptocurrencies are already replacing some of the “regular” national currencies and financial products, the question then arises: should they be regulated? And if so, how? This paper draws the legal distinction between cryptocurrencies which are in fact currency and those which are securities disguised as currency. It further suggests that in cases where a token is indeed a security, regular securities regulation should apply. In all other cases anti-fraud measures should be in place in order to protect investors. Further regulation should only be put in place if the cryptocurrency starts increasing systemic risk in the general financial system.",,,,,Financial services; Currency; Business; Systemic risk; Cryptocurrency; Order (exchange); Popularity; Product (business); Financial regulation; Monetary economics,,,,,https://autopapers.ssrn.com/sol3/papers.cfm?abstract_id=3119591 https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3119591 https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3141361_code1775905.pdf?abstractid=3119591&mirid=1&type=2 https://www.ssrn.com/abstract=3119591 https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3409019_code1775905.pdf?abstractid=3119591&mirid=1,http://dx.doi.org/10.2139/ssrn.3119591,,10.2139/ssrn.3119591,2791365481,,0,039-831-429-965-271; 050-105-396-285-676; 080-686-200-451-270; 104-881-123-052-104; 108-466-681-926-328; 127-473-453-684-851; 132-359-809-010-164; 167-471-084-810-77X,6,True,,green,lens
164-522-868-727-809,The taxation and regulation of banks to manage systemic risk,,2012.0,journal article,SSRN Electronic Journal,15565068,Elsevier BV,,Brian Coulter; Colin Mayer; John Vickers,,,,,,Debt; Systemic risk; Externality; Economics; Capital adequacy ratio; Paid in capital; Capital requirement; Market economy; Insolvency; Monetary economics; Economic capital,,,,,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID2208034_code1664187.pdf?abstractid=2192572&mirid=5 https://www.ssrn.com/abstract=2192572 https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2192572,http://dx.doi.org/10.2139/ssrn.2192572,,10.2139/ssrn.2192572,1710565176,,0,004-391-489-299-809; 016-897-165-313-92X; 044-716-848-924-72X; 051-035-171-166-540; 062-660-137-583-255; 063-612-602-749-741; 064-328-625-057-586; 064-425-890-068-336; 080-054-971-745-204; 090-680-236-653-988; 102-643-073-496-236; 104-567-092-817-85X; 106-371-610-579-977; 124-972-013-795-483; 136-106-944-186-234; 142-084-600-389-807,8,False,,,lens
154-606-155-743-02X,Assessment of Systemic Risk in the Polish Banking Industry,2018-04-28,2018.0,book chapter,Contemporary Trends and Challenges in Finance,21987246; 21987254,Springer International Publishing,,Katarzyna Kuziak; Krzysztof Piontek,"In this paper systemic risk is meant in a very narrow sense as a risk of breakdown or major dysfunction in the banking system. Some researches use the term to include the potential insolvency of a major player in or a component of the financial. In the paper, financial indicators and the approach of Conditional Value-at-Risk (CoVaR) proposed by Adrian and Brunnermeier is used to assess systemic risk. The goal is to verify the results obtained for delta CoVaR for banks by aggregate measure of their financial condition. In the paper two methods of CoVaR estimation were applied: GARCH and quantile regression. As a measure of financial condition, the composite indicator (development measure proposed by Hellwig, containing selected financial ratios, was calculated. Empirical analysis for Polish banking industry indicates a weak or insignificant relationship between values of systemic risk measure (delta CoVaR) and the values of financial condition measure (composite indicator).",,,145,158,Systemic risk; Econometrics; Economics; Autoregressive conditional heteroskedasticity; Measure (data warehouse); Banking industry; Insolvency; Quantile regression; Estimation; Financial ratio,,,,,https://rd.springer.com/chapter/10.1007/978-3-319-76228-9_14 https://link.springer.com/chapter/10.1007/978-3-319-76228-9_14,http://dx.doi.org/10.1007/978-3-319-76228-9_14,,10.1007/978-3-319-76228-9_14,2801861964,,0,000-846-266-307-085; 022-960-290-491-203; 026-368-711-109-491; 041-786-210-324-199; 046-169-328-895-892; 049-490-820-609-261; 084-394-540-542-487; 114-812-537-606-975; 115-806-665-215-624; 122-779-428-131-390; 133-961-842-624-078; 136-106-944-186-234; 139-025-166-443-808; 144-647-834-726-107; 144-780-567-853-461; 168-422-163-339-942; 181-953-131-517-867; 197-129-658-402-674,3,False,,,lens
190-480-018-138-709,Credit risk management : Possibilities for a housing price insurance on the Swedish market - lessons from Canada,,2011.0,,,,,,John Hunter; Jakob Westin,"The deregulation of the financial markets that started over two decades ago in the developed countries has led to increased house prices and loan to value ratios. Home owners in western countries have over the last two decades steadily decreased their savings and at the same time increased the size of their mortgages and the amount of leverage used to purchase their homes. This development has increased the financial risk for homeowners which recently became clear in the United States when prices on homes started to fall rapidly in 2007. Due to this development Finansinspektionen in Sweden has enforced new regulation on mortgage lending making it more expensive for home owners to use high leverage ratios. Finansinspektionen is responsible for consumer protection in terms of financial products and the new regulation aims to protect mortgage borrowers. Finansinspektionen suggests that an insurance that protects the borrower from loss could be used as an alternative to the regulation restricting the amount of leverage. Finansinspektionen also mentions the Canadian mortgage market as an example where compulsory mortgage insurances are enforced today. In Canada the borrower must take out a mortgage insurance when the mortgage exceeds 80 percent of the house value. However, we find that the Canadian mortgage insurance system would not fulfil the aim of Finansinspektionen’s regulation. The Canadian mortgage insurances are constructed to protect the lender against default and there purpose was initially to increase lending. When examining the basic structure of mortgage and home value insurance products we find that such products and systems are complicated to construct to match the Finansinspektionen requirements and purpose due to issues such as moral hazard, adverse selection, price, willingness to pay and systemic risk.",,,,,Finance; Shared appreciation mortgage; Business; Systemic risk; Actuarial science; Loan-to-value ratio; Credit risk; Secondary mortgage market; Moral hazard; Mortgage underwriting; Mortgage insurance,,,,,http://www.diva-portal.org/smash/record.jsf?pid=diva2:490767,http://www.diva-portal.org/smash/record.jsf?pid=diva2:490767,,,619642372,,0,,0,False,,,lens
032-364-389-716-638,Detekce změn v panelových datech: Změna parametrů Fama-French modelu u vybraných evropských akcií v období finanční krize,2019-02-01,2019.0,journal article,Politická ekonomie,00323233; 23368225,Prague University of Economics and Business,Czech Republic,Jaromír Antoch; Marie Hušková; Jan Hanousek; Jiří Trešl,"This study identifies systemic break points in a factor pricing model for firms traded on European stock markets around the financial crisis. The aim is to shed light on the systemic risk transfer in explaining average stock returns in the fragmented European exchanges. Our analysis takes advantage of recent development in econometrics and employs models which enable ""automatic"" detection of factor model break points. We find that Western European exchanges are more closely integrated with American financial markets than Northern European stock exchanges and those in the United Kingdom. However, all exchanges were eventually affected by the systemic shock. The results of this study provide insight into immunisation strategies for portfolios created from European stocks.",67,1,3,19,Systemic risk; Systemic shock; Economics; Capital asset pricing model; Financial market; Stock exchange; Financial crisis; Monetary economics; Stock (geology); Panel data,,,,,https://econpapers.repec.org/RePEc:prg:jnlpol:v:2019:y:2019:i:1:id:1233:p:3-19 http://polek.vse.cz/doi/10.18267/j.polek.1233.html https://polek.vse.cz/artkey/pol-201901-0001_detekce-zmen-v-panelovych-datech-zmena-parametru-fama-french-modelu-u-vybranych-evropskych-akcii-v-obdobi-fina.php,http://dx.doi.org/10.18267/j.polek.1233,,10.18267/j.polek.1233,2941043133,,0,005-349-077-438-259; 005-534-719-654-266; 006-560-558-720-888; 008-279-819-700-833; 009-401-826-501-886; 011-164-102-167-734; 012-332-884-988-452; 013-770-623-528-921; 017-749-955-233-213; 023-716-862-113-286; 023-920-010-872-504; 026-449-509-255-772; 030-582-421-227-58X; 041-354-194-466-859; 042-937-381-818-099; 043-159-725-034-182; 043-957-053-026-468; 050-292-023-758-430; 058-879-947-933-394; 060-783-932-348-50X; 061-806-036-799-092; 066-454-463-533-577; 074-925-246-726-661; 075-897-862-903-52X; 076-718-861-500-243; 086-260-434-815-196; 086-771-766-095-679; 087-267-753-082-610; 092-305-194-560-481; 093-035-322-248-695; 093-293-869-357-408; 099-760-879-725-794; 100-446-896-445-856; 102-245-223-294-32X; 109-797-432-943-285; 110-253-451-010-763; 137-303-720-791-151; 139-732-620-238-138; 146-591-652-048-467; 167-299-724-279-859,0,True,cc-by-nc-nd,gold,lens
051-999-107-784-826,"Understanding the governance of sustainability pathways: Hydraulic megaprojects, social-ecological traps, and power in networks of action situations",2021-09-22,2021.0,preprint,,,Center for Open Science,,Pablo F. Méndez; Floriane Clement; Guillermo Palau Salvador; Ricardo Díaz-Delgado; Sergio Villamayor-Tomas,"<p>To enable sustainability pathways, we need to understand how social-ecological systems (SES) respond to different governance configurations, considering their historical, institutional, political and power conditions. We advance a robust methodological approach for the integrated analysis of those conditions in SES traps. Our advancement consists of a novel combination of the Networks of Action Situations (NAS) approach with an agency-based polycentric power typology and the concept of discursive power. We test the approach by building on previous research on the Doñana estuary-delta SES (Guadalquivir estuary), which is characterized by a rigidity trap in the context of ecosystem and water governance. Specifically, we focus on a recent hydraulic megaproject involving deep dredging in the Guadalquivir estuary, finally canceled due to its broad negative socioeconomic and environmental repercussions. According to our analysis, certain governance, institutional and informational mechanisms currently prevent further SES degradation in Doñana. However, key governance actors are caught in a lasting coordination failure prone to mutual defection strategies owing to power dynamics and discursive-institutional inertia. Although seemingly stable due to counteractive mechanisms among actors, this situation is at continuous risk of being unbalanced by powerful actors promoting large SES interventions such as deep dredging. Such interventions bear the systemic risk of strong suppression of SES functions, and a regime shift to a lock-in trap. This overall undesirable situation might be escaped through transformative policy designs that take into account meso-level mechanisms, such as discursive power and its role in non-decision-making, pragmatic inaction, and inefficient investment and infrastructure.</p>",,,,,Corporate governance; Sustainability; Context (archaeology); Environmental governance; Deliberation; Political science; Business; Economics; Environmental planning; Politics; Ecology; Geography; Finance; Law; Biology; Archaeology,,,,,,http://dx.doi.org/10.31235/osf.io/b3p7h,,10.31235/osf.io/b3p7h,,,0,,1,True,,green,lens
151-913-595-563-402,Regulation of Financial Services Industries: Selected Global Approaches,2012-09-01,2012.0,journal article,The International Journal of Management,22775846,,,James S. Sagner,"This article discusses the alternative approaches to financial regulation in current use in selected major economies, varying from functional regulation in the U.S. to consolidated regulation in the U.K. and Japan. Specific comments are provided on the successes and failures of each approach. The conclusion is that a consolidated regulatory scheme is preferable to the functional model, organized by individual investor and by business investor risk category; e.g., insurance risk for the safety of customer funds that are on deposit with a financial services firm, business risk to protect the integrity of the intermediation process, and systemic risk for the security of the financial system. The world's financial services industry has been undergoing a series of dynamic transitions for at least the past two decades. Change factors include technology, globalization, nearly universal acceptance of capitalism, the ending of trade barriers, the strategic decision by companies to pursue apparent opportunities outside of traditional lines of business and the global credit crisis that began in 2008. The situation is complicated for governments that have attempted to respond to these changes due to varying forms of regulation used in the leading economies. These approaches vary from functional regulation in the U.S. to consolidated regulation in the U.K. and Japan. This paper reviews the current state of financial regulation and concludes with specific comments on the successes and failures of each approach. The senior executives of the Megafinancial Corporation (MegaFi) are attending their regular weekly strategy meeting chaired by the company 's president and CEO, Seymour Dough. The major agenda item is the consideration of a new product idea sponsored by the Vice President for Marketing, Will Sell. MegaFi is a leader in the global financial markets in securities, insurance and banking, but is facing increased competitive pressures and additional scrutiny from regulators in the major developed countries. The new product - Universal Mortgage - is intended to solidify the company 's position in real estate by offering a new variation on mortgage lending. MegaFi believes that current depressed conditions in real estate offer an opportunity for a new approach to mortgage lending that could eventually lead to a significant share of the market. The concept is a mortgage loan based on the appraised value of the home or commercial property, but with a guarantee of 75% of the average annual increase in property value (if any) experienced in the property 's market area (for example, in the county or zip code location in the U.S.). The increase would be based on transactions for equivalent property from sales data as recorded by a local board of realtors.' In an example provided at the meeting by Will Sell, a house owned for ten years with a $300, 000 mortgage (based on an original appraisal of $400, 000) could be sold back to MegaFiat a guaranteed average annual gain of 6%, which is 7 5% ofthe area's residential property increase of 8%. The homeowner would net $446,400 2 without having to go through the process of selling the house or paying a real estate agent's commission (6% in most places in the U.S.), and without risking apnee reduction due to a temporary market decline. MegaFi would then be able to sell the house for whatever price the market sets, presumably $863, 600, 3 through its real estate agency, without paying any agent's commission (as all ofthe company's agents are salaried). Of course, the homeowner could always choose to sell his house through the conventional process, but he would experience delays in listing time, showing time including open houses, mortgage contingency and inspection time for the buyer, and closing time. The obvious advantage to MegaFi is the potential profit of nearly $150,000;4 the benefit to the homeowner is a guarantee executed at the time ofthe original purchase of 75% ofthe appreciation of equivalent property and no waiting period to complete the transaction. …",29,3,288,,Finance; Financial services; Systemic risk; Economics; Financial market; Commission; Appraised value; Financial regulation; Real estate; Business risks,,,,,https://www.questia.com/library/journal/1P3-2762924171/regulation-of-financial-services-industries-selected,https://www.questia.com/library/journal/1P3-2762924171/regulation-of-financial-services-industries-selected,,,278569865,,0,,0,False,,,lens
132-024-717-307-281,A RELAÇÃO DE RISCO E RETORNO NAS EMPRESAS INTEGRANTES DO ÍNDICE DE SUSTENTABILIDADE EMPRESARIAL NO PERÍODO DE 2008 A 2010,2012-06-08,2012.0,,,,,,Joyce Mariella Medeiros Cavalcanti; Diego Rodrigues Boente,"O mercado financeiro mundial identificou a eminencia por investimento socialmente responsavel tocado pelas organizacoes empresariais devido a pressao da sociedade em incentiva-las a seguir o modelo de desenvolvimento sustentavel e, por isso, criou indices com o objetivo de reuni-las como forma de averiguar a rentabilidade dessas aplicacoes: no Brasil, em 2005, foi criado o indice de sustentabilidade empresarial (ISE). Tal questao representa um desafio para as organizacoes porque existe uma controversia acerca disso, pois, de um lado, a corrente teorica do shareholder defende que as empresas devem gerar valor somente ao acionista e, pela corrente teorica do stakeholder , esse grupo se estende a sociedade, clientes, fornecedores etc. Diante dessa controversia academica, estudos realizados no cenario brasileiro verificaram se as organizacoes sustentaveis foram mais lucrativas ou nao em relacao as organizacoes que nao adotaram essa pratica, no entanto os resultados apontados nesses estudos foram conflitantes entre si. Desse modo, como forma de contribuir para discussao do tema, este estudo teve como objetivo investigar a relacao de risco e retorno das empresas integrantes do ISE no periodo de 2008 a 2010, verificando se elas apresentaram retornos medios maiores e riscos sistemicos menores. Para alcancar esse objetivo foi utilizado o teste F a 5% de significância. Os resultados encontrados sugerem que a diferenca dos retornos medios e dos riscos sistematicos da amostra, comparados aos valores de um grupo controle pares a ela, nao foram significativas, portanto as empresas listadas no ISE nao ofereceram vantagens relevantes em nenhum periodo analisado. Recomendam-se outras pesquisas sobre o tema incluindo o segmento bancos pertencentes ao ISE e um periodo maior de investigacao. Palavras-chave : Desenvolvimento Sustentavel. Indice de Sustentabilidade Empresarial. Risco e Retorno. ABSTRACT The world financial market identified the eminence for socially responsible investment touched by the business organizations due to the pressure of the society to encourage them to follow the sustainable development model and, hence, created indexes with the objective to reunite them as a way to verify the profitability of these applications: in Brazil, in 2005, the business sustainable index was created (BSI). Such question represents a challenge for the organizations because there’s a controversy about this, for one side, the theoretical current of shareholder defends that the enterprises must generate an amount only to the shareholders and, by the theoretical current of the stakeholder, this group is extended for the society, customers, suppliers, etc. Over this academic controversy, studies realized in the Brazilian scenery verified if the sustainable organizations were more lucrative or not in relation to the organizations that didn’t adopt this practice, however the pointed results in these studies were conflicting between each other. Thereby, as a way to contribute for the theme discussion, this study had as objective to investigate the risk and return relations of the enterprises that are members of the BSI in the period of 2008 to 2010, verifying if they show bigger average returns and smaller systemic risks. To reach this objective, we used the F test with 5% of significance. The results found suggest that the average returns and the systemic risks of the sample, compared to the amounts of a control group in pairs with it, were not significant. In other words, the listed enterprises in the BSI don’t offer significant advantages compared to the enterprises in the control group in any analyzed period. We recommend other researches about the theme including the segment banks that belong to the BSI and a larger period of investigation. Keywords : Sustainable Development. Sustainability Corporate Index. Risk and Return.",4,1,51,71,Humanities; Management; Geography; Socially responsible investment,,,,,https://doaj.org/article/12c33a58124e4cf481c84a3eec5c8a79 https://dialnet.unirioja.es/descarga/articulo/3985814.pdf https://dialnet.unirioja.es/servlet/articulo?codigo=3985814 http://rebacc.crcrj.org.br/handle/123456789/5042 https://biblat.unam.mx/es/revista/revista-ambiente-contabil/articulo/a-relacao-de-risco-e-retorno-nas-empresas-integrantes-do-indice-de-sustentabilidade-empresarial-no-periodo-de-2008-a-2010,https://doaj.org/article/12c33a58124e4cf481c84a3eec5c8a79,,,1508141880,,0,,4,False,,,lens
043-459-273-251-112,Which Are the SIFIs? A Component Expected Shortfall Approach to Systemic Risk,,2014.0,journal article,CFA Digest,00469777; 19383320,CFA Institute,,Rich Wiggins,,44,5,,,Financial economics; Systemic risk; Actuarial science; Economics; Component (UML); Expected shortfall,,,,,http://www.cfapubs.org/doi/full/10.2469/dig.v44.n5.14,http://dx.doi.org/10.2469/dig.v44.n5.14,,10.2469/dig.v44.n5.14,2332478683,,0,,0,False,,,lens
170-959-371-706-868,Compatibility of Islamic Finance and Anti-Money Laundering Laws: A Myth or Reality?,2018-06-30,2018.0,journal article,IIUM Law Journal,22897852; 01282530,IIUM Press,,Maruf Adeniyi Nasir,"Money Laundering (ML) remains a major threat to the financial flow, as well as affecting the economic stability of any nations. It is equally capable of undermining macroeconomic performance and therefore constitutes a very significant risk to both soundness and stability of any financial institution. Foreign direct investments are therefore adversely affected. Unlike that of the capitalist economy and other conventional banking institutions, the risks which ML poses to Islamic finance attracted little or no critical study. This could give the impression that Islamic finance is not in tune with Anti-Money Laundering Laws (AML) and the regulatory regime or that it is anti-AML. The resultant effect of this is unnecessary hostility to Islamic Financial products, which appears not to be in the interest of global economy. This article, therefore, focuses on the relevance of AML principles to Islamic banking. It is revealed that while no financial institution is immune to laundering, the risk-sharing nature of Islamic finances poses less systemic risk than conventional finance. It is recommended that FATF should facilitate studies of potential ML in Islamic finance to put the issue in the right perspective.",26,1,55,55,Financial services; Business; Systemic risk; Relevance (law); Law; Financial institution; Money laundering; Foreign direct investment; Islam; Economic stability,,,,,https://journals.iium.edu.my/iiumlj/index.php/iiumlj/article/download/344/229 https://journals.iium.edu.my/iiumlj/index.php/iiumlj/article/view/344,http://dx.doi.org/10.31436/iiumlj.v26i1.344,,10.31436/iiumlj.v26i1.344,2896033264,,0,,2,True,,bronze,lens
145-390-236-585-055,Measuring Systemic Risk Using Multivariate Quantile-Located ES Models,2021-02-24,2021.0,journal article,Journal of Financial Econometrics,14798409; 14798417,Oxford University Press (OUP),United Kingdom,Laura Garcia-Jorcano; Lidia Sanchis-Marco,"<jats:title>Abstract</jats:title>;                <jats:p>We examine the tail systemic risk between the global financial system and financial institutions that belong to different industry groups. Our main contribution is the development of a systemic risk measure Delta Quantile-Located Conditional Autoregressive Expected Shortfall, ΔQLMV−CoCARES. This new measure captures the extreme downside risk in terms of the ES of the system should both the financial system and the institution simultaneously be in distress. The evidence suggests that cross significant volatility and ES effects exist between the system and financial institutions. Furthermore, our measure presents better forecasting performance than standard or novel systemic risk measures based on VaR such as CoVaR or ΔQLMV−CoCAViaR and it is effective at predicting financial crises. We also develop a new systemic stress indicator SSIES based on ΔQLMV−CoCARES systemic risk measure which presents higher forecasting ability than other standard stress indicators.</jats:p>",21,1,1,72,Quantile; Systemic risk; Econometrics; Multivariate statistics; Mathematics,,,,,http://academic.oup.com/jfec/advance-article-pdf/doi/10.1093/jjfinec/nbaa050/36349128/nbaa050.pdf,http://dx.doi.org/10.1093/jjfinec/nbaa050,,10.1093/jjfinec/nbaa050,3130999644,,0,000-104-254-929-992; 001-274-723-652-948; 001-479-651-999-983; 004-644-450-850-109; 005-922-988-268-798; 006-491-472-590-553; 007-398-058-153-868; 008-063-522-305-207; 008-479-042-011-321; 008-509-116-471-262; 009-371-534-301-730; 009-926-395-777-419; 010-343-664-389-328; 012-231-431-152-115; 012-525-456-033-239; 013-244-730-266-402; 013-537-266-431-88X; 015-111-888-186-326; 018-168-475-223-121; 021-172-045-260-061; 022-304-930-380-208; 022-358-408-158-616; 024-465-633-104-522; 024-828-296-919-906; 034-070-166-715-290; 034-506-125-461-911; 036-765-900-901-244; 037-122-689-375-425; 042-359-804-509-609; 042-389-907-188-892; 043-587-030-139-536; 045-283-165-008-496; 045-599-041-334-450; 046-352-365-586-832; 046-484-791-935-331; 047-590-216-708-912; 048-131-116-146-418; 048-332-187-830-533; 052-187-280-017-818; 052-950-632-687-919; 056-041-050-320-014; 056-084-592-994-224; 057-175-125-323-966; 057-203-943-288-264; 057-845-058-337-355; 061-814-564-097-318; 064-586-496-729-797; 068-926-087-240-142; 069-238-937-251-989; 069-677-919-058-194; 070-068-604-264-120; 070-489-793-724-987; 071-587-032-736-41X; 074-170-580-336-674; 079-394-100-805-449; 080-672-111-417-698; 084-090-075-592-338; 092-714-135-858-55X; 094-836-682-333-662; 098-810-406-052-231; 099-115-796-601-17X; 102-850-016-997-677; 103-310-519-835-660; 110-493-884-621-554; 110-818-696-196-864; 112-976-303-677-568; 114-834-647-050-047; 115-806-665-215-624; 116-431-610-698-356; 122-779-428-131-390; 127-123-260-609-038; 127-134-528-683-700; 134-679-744-503-78X; 135-686-400-830-121; 136-342-668-308-059; 142-152-017-536-613; 142-283-968-423-876; 146-148-603-590-018; 146-399-055-378-628; 153-779-195-390-459; 161-277-950-172-86X; 161-388-814-416-825; 168-422-163-339-942; 179-085-738-786-351; 181-953-131-517-867; 196-120-155-272-989; 198-831-686-707-017,0,False,,,lens
