authors,title,abstract,year,pub_date,n_cited,source,kws,auth_affils,link,links,bib_src,scopus_id
"Farboodi, M.",Comment on network reactions to banking regulations by selman erol and guillermo ordonez,No abstract available,2017,2017-01-01,0,Journal of Monetary Economics,banking regulations; interbank networks; systemic risk,"Farboodi, M. (Julis Romo Rabinowitz Building, Princeton University, Princeton, NJ  08544, United States)",https://dx.doi.org/10.1016/j.jmoneco.2017.05.001,https://dx.doi.org/10.1016/j.jmoneco.2017.05.001,scopus,2-s2.0-85021823794
"Ozdenoren, E.; Yuan, K.",Contractual externalities and systemic risk,"We study effort and risk-taking behaviour in an economy with a continuum of principal-agent pairs where each agent exerts costly hidden effort. Principals write contracts based on both absolute and relative performance evaluations (APE and RPE, respectively) to make individually optimal risk-return trade-offs but do not take into account their impact on endogenously determined aggregate variables. This in contractual externalities when these aggregate variables are used as benchmarks in contracts. Contractual externalities have welfare changing effects when principals put too much weight on APE or RPE due to information frictions. Relative to the second best, if the expected productivity is high, risk-averse principals over-incentivize their own agents, triggering a rat race in effort exertion, resulting in over-investment in effort and excessive exposure to industry risks. The opposite occurs when the expected productivity is low, inducing pro-cyclical investment and risk-taking behaviours. The Author 2017.",2017,2017-01-01,4,Review of Economic Studies,benchmarking; contractual externalities; industrial practice; many principal-agent pairs; pro-cyclical effort exertion and risk-taking; productivity; rattus; relative and absolute performance contracts; risk assessment; trade-off,"Ozdenoren, E. (London Business School and CEPR, United Kingdom); Yuan, K. (London School of Economics, FMG and CEPR, United Kingdom)",https://dx.doi.org/10.1093/restud/rdw058,https://dx.doi.org/10.1093/restud/rdw058,scopus,2-s2.0-85030864785
"Glova, J.; Dancaková, D.",Country equity risk modelling using dynamic capital asset pricing model in selected central and eastern european countries,"The purpose of this paper is to empirically estimate country beta in a group of five selected CEE countries with an appropriately fitted model that accurately estimates the time-varying characteristics of beta. In methodological part we apply the multiple linear regression model and time-series autoregressive model, as well as statistical approaches for processing the secondary data. The paper finds that there is the existence of dynamic beta model within these countries that considers local as well as global economic effect. Global effects are more significant for the particular model we derived in the paper, and so this study also helps to determine the country risk with respect to the global index and global financial market variables. This paper reliably estimates country betas for the selected CEE countries. The time-varying beta is estimated using unanticipated time-series autoregressive errors embedded in the multiple linear regression models which is rarely applied in the literature. 2018, ASERS Publishing House. All rights reserved.",2017,2017-01-01,0,Journal of Applied Economic Sciences,asset pricing model; country equity risk; dynamic beta; multi-factor asset pricing; systemic risk; time-varying beta,"Glova, J. (Department of Banking and Investment, Faculty of Economics, Technical University, Němcovej 32, Košice, 042 00, Slovakia); Dancaková, D. (Department of Banking and Investment, Faculty of Economics, Technical University, Němcovej 32, Košice, 042 00, Slovakia, Department of Banking and Investment, Faculty of Economics, Technical University, Košice, Slovakia)",https://dx.doi.org/,https://dx.doi.org/,scopus,2-s2.0-85042400170
"Menkveld, A.J.",Crowded positions: an overlooked systemic risk for central clearing parties,"Counterparty risk could hamper trade and worsen a financial crisis. A central clearing party (CCP) insures traders against counterparty default and thus benefits trade. Default of the CCP however becomes a new systemic risk. CCP risk management does not account for risks associated with crowded positions. This paper proposes a CCP exposure measure based on tail risk in trader portfolios. It identifies and measures crowded risk and assigns it to traders according to the polluter pays principle. CCP data show that crowded positions increase CCP exposure most (about one-third) on turbulent days, when exposure is high already. The Author 2015.",2017,2017-01-01,23,Review of Asset Pricing Studies,,"Menkveld, A.J. (Vrije Universiteit Amsterdam, FEWEB, De Boelelaan 1105, Amsterdam, 1081 HV, Netherlands)",https://dx.doi.org/10.1093/rapstu/rax016,https://dx.doi.org/10.1093/rapstu/rax016,scopus,2-s2.0-85056122810
"Nucera, F.; Lucas, A.; Schaumburg, J.; Schwaab, B.",Do negative interest rates make banks less safe,"We study the impact of increasingly negative central bank policy rates on banks’ propensity to become undercapitalized in a financial crisisSRisk’). We find that the risk impact of negative rates depends on banks’ business models: Large banks with diversified income streams are perceived as less risky, while smaller and more traditional banks are perceived as more risky. Policy rate cuts below zero trigger different SRisk responses than an earlier cut to zero. 2017 Elsevier B.V.",2017,2017-01-01,30,Economics Letters,bank business model; negative interest rates; systemic risk; unconventional monetary policy measures,"Nucera, F. (LUISS Guido Carli University, Italy); Lucas, A. (Vrije Universiteit Amsterdam, Netherlands, Tinbergen Institute, Netherlands); Schaumburg, J. (Vrije Universiteit Amsterdam, Netherlands, Tinbergen Institute, Netherlands); Schwaab, B. (European Central Bank, Financial Research, Germany)",https://dx.doi.org/10.1016/j.econlet.2017.07.014,https://dx.doi.org/10.1016/j.econlet.2017.07.014,scopus,2-s2.0-85026787380
"DeBerge, M.; Zhang, S.; Glinton, K.; Grigoryeva, L.; Hussein, I.; Vorovich, E.; Ho, K.; Luo, X.; Thorp, E.B.","Efferocytosis and outside-in signaling by cardiac phagocytes links to repair, cellular programming, and intercellular crosstalk in heart","Phagocytic sensing and engulfment of dying cells and extracellular bodies initiate an intracellular signaling cascade within the phagocyte that can polarize cellular function and promote communication with neighboring non-phagocytes. Accumulating evidence links phagocytic signaling in the heart to cardiac development, adult myocardial homeostasis, and the resolution of cardiac inflammation of infectious, ischemic, and aging-associated etiology. Phagocytic clearance in the heart may be carried out by professional phagocytes, such as macrophages, and non-professional cells, including myofibrolasts and potentially epithelial cells. During cardiac development, phagocytosis initiates growth cues for early cardiac morphogenesis. In diseases of aging, including myocardial infarction, heightened levels of cell death require efficient phagocytic debridement to salvage further loss of terminally differentiated adult cardiomyocytes. Additional risk factors, including insulin resistance and other systemic risk factors, contribute to inefficient phagocytosis, altered phagocytic signaling, and delayed cardiac inflammation resolution. Under such conditions, inflammatory presentation of myocardial antigen may lead to autoimmunity and even possible rejection of transplanted heart allografts. Increased understanding of these basic mechanisms offers therapeutic opportunities. 2017 DeBerge, Zhang, Glinton, Grigoryeva, Hussein, Vorovich, Ho, Luo and Thorp.",2017,2017-01-01,21,Frontiers in Immunology,apoptosis; cardiac muscle cell; cardiomyocyte; carditis; cd4+ t lymphocyte; chemokine receptor ccr2; chemotaxis; cytokine production; efferocytosis; endocytosis; heart; heart development; heart failure; heart infarction; heart muscle injury; heart transplantation; human; immunosurveillance; insulin resistance; interleukin 13; interleukin 4; macrophage; myocarditis; necrosis; nuclear reprogramming; phagocyte; phagocytosis; review; signal transduction; somatomedin receptor; steady state; trypanosoma cruzi,"DeBerge, M. (Department of Pathology, Feinberg Cardiovascular Research Institute, Feinberg School of Medicine, Northwestern University, Chicago, IL, United States); Zhang, S. (Department of Pathology, Feinberg Cardiovascular Research Institute, Feinberg School of Medicine, Northwestern University, Chicago, IL, United States); Glinton, K. (Department of Pathology, Feinberg Cardiovascular Research Institute, Feinberg School of Medicine, Northwestern University, Chicago, IL, United States); Grigoryeva, L. (Department of Pathology, Feinberg Cardiovascular Research Institute, Feinberg School of Medicine, Northwestern University, Chicago, IL, United States); Hussein, I. (Department of Pathology, Feinberg Cardiovascular Research Institute, Feinberg School of Medicine, Northwestern University, Chicago, IL, United States); Vorovich, E. (Department of Pathology, Feinberg Cardiovascular Research Institute, Feinberg School of Medicine, Northwestern University, Chicago, IL, United States); Ho, K. (Department of Pathology, Feinberg Cardiovascular Research Institute, Feinberg School of Medicine, Northwestern University, Chicago, IL, United States); Luo, X. (Department of Pathology, Feinberg Cardiovascular Research Institute, Feinberg School of Medicine, Northwestern University, Chicago, IL, United States); Thorp, E.B. (Department of Pathology, Feinberg Cardiovascular Research Institute, Feinberg School of Medicine, Northwestern University, Chicago, IL, United States)",https://dx.doi.org/10.3389/fimmu.2017.01428,https://dx.doi.org/10.3389/fimmu.2017.01428,scopus,2-s2.0-85032722598
"Calomiris, C.W.; Holtz-Eakin, D.; Hubbard, R.G.; Meltzer, A.H.; Scott, H.S.",Establishing credible rules for fed emergency lending,"Purpose: The purpose of this paper is to propose reforms that would establish a credible framework of rules to constrain and guide emergency lending by the Federal Reserve and by fiscal authorities during a future financial crisis. Design methodology approach: The authors propose a set of five overarching rules, informed by history, empirical evidence and theory, which would serve as the foundation on which detailed legislation should be constructed. Findings: The authors find that the current framework governing emergency lending including reforms to Federal Reserve lending enacted after the recent crisis is inadequate and not credible, and that their proposed framework would constitute a credible balancing of costs and benefits. Practical implications: Adequate assistance to financial institutions would be provided in systemic crises but would be limited in its form, and by the process that would govern its provision. Originality value: This framework would serve as a basis for establishing effective rules that would be credible, and that would properly balance the moral-hazard costs of emergency lending against the gains from avoiding systemic collapse of the financial system. 2017, Emerald Publishing Limited.",2017,2017-01-01,4,Journal of Financial Economic Policy,bailouts; central banking; dodd-frank act; emergency lending; federal reserve; lender of last resort; moral hazard; systemic risk,"Calomiris, C.W. (Department of Finance and Economics, Columbia Business School, Columbia University, New York, NY, United States); Holtz-Eakin, D. (American Action Forum, Washington, DC, United States); Hubbard, R.G. (Columbia University, New York, NY, United States); Meltzer, A.H. (Carnegie-Mellon University, Pittsburgh, PA, United States); Scott, H.S. (Harvard Law School, Harvard University, Cambridge, MA, United States)",https://dx.doi.org/10.1108/JFEP-01-2017-0006,https://dx.doi.org/10.1108/JFEP-01-2017-0006,scopus,2-s2.0-85026467514
"Zakaria, F.; Fatine, F.A.",Evidence of the cross border contagion risk for moroccan banking system,"Analysis of contagion continues to attract growing interest from both regulatory authorities and the academic world and we are witnessing the development of analytical approaches for assessing the risk of contagion in the interbank market. Indeed, given its role in financial stability and monetary policy, the Central Bank must be able to accurately determine the level of international vulnerability associated with various scenarios for cross-border contagion, both to prevent than to manage situations systemic crises. The purpose of this study is to assess the risk of cross-border contagion of the Moroccan banking system through the data of the ""BIS"". The methodology is to first approximate the gross bilateral exposures using data from the banks' financial statements. Then simulations based on contagion algorithm integrating counterparty risk are conducted to assess the risk of contagion. Also centrality of indicators and measurement of systemic importance are presented. The were synthesized in indicators to assess the systemic importance of the French banking system internationally to Morocco the fall of the latter is a significant risk of contagion. 2017IOS Press and the authors. All rights reserved.",2017,2017-01-01,1,Risk and Decision Analysis,contagion risk; cross border; financial stability; systemic risk,"Zakaria, F. (University of Mohammed V, Rabat, Morocco); Fatine, F.A. (University of Mohammed V, Rabat, Morocco)",https://dx.doi.org/10.3233/RDA-180134,https://dx.doi.org/10.3233/RDA-180134,scopus,2-s2.0-85048088233
"Yao, Y.; Li, J.; Zhu, X.; Wei, L.",Expected default based score for identifying systemically important banks,"The issue of identifying systemically important banks has gained prominence since the recent global financial crisis in 2007. However, the extant methods either neglect the adverse impact on the financial system posed by a bank or ignore the various interactions among banks. To resolve this issue, the of this study is to put forward an expected default based score (EDBS) that overcomes the drawbacks of the existing methods from the perspective of contagion risk. This indicator measures the systemic importance of a bank by calculating the expected bank defaults triggered by its initial failure. In the empirical study, the expected default based score is applied to identify the systemically important banks in the Chinese banking system. Both the quantitative comparison with other major methods and the qualitative evaluation of the Delphi method validate the reliability of the EDBS method. The empirical also demonstrate that interconnectedness among banks is an important and complementary driver of systemic importance in addition to asset size. 2017 Elsevier Ltd",2017,2017-01-01,6,Economic Modelling,bank risk; contagion risk; systemic risk; systemically important banks,"Yao, Y. (Institute of Policy and Management, Chinese Academy of Sciences, Beijing, 100190, China, University of Chinese Academy of Sciences, Beijing, 100049, China); Li, J. (Institute of Policy and Management, Chinese Academy of Sciences, Beijing, 100190, China, University of Chinese Academy of Sciences, Beijing, 100049, China); Zhu, X. (Institute of Policy and Management, Chinese Academy of Sciences, Beijing, 100190, China); Wei, L. (Institute of Policy and Management, Chinese Academy of Sciences, Beijing, 100190, China, University of Chinese Academy of Sciences, Beijing, 100049, China)",https://dx.doi.org/10.1016/j.econmod.2017.04.023,https://dx.doi.org/10.1016/j.econmod.2017.04.023,scopus,2-s2.0-85019143283
"Piccotti, L.R.",Financial contagion risk and the stochastic discount factor,"provide evidence that financial contagion risk is an important source of the equity risk premium. Banks’ contributions to aggregate financial contagion are estimated in a state space framework and linked to systemic risk. Greater bank connectedness today leads to increased systemic risk12 months later. More contagious banks earn significantly greater risk-adjusted returns than less contagious ones and the tradable high contagion-minus-low contagion bank portfolio is priced in the cross-section of stock returns. Stocks that co-move more strongly with contagious banks have greater expected returns. These are robust to factor model specification, test assets, and time period considered. 2017 Elsevier B.V.",2017,2017-01-01,13,Journal of Banking and Finance,asset pricing; equity risk premium; financial contagion; state-space modeling; systemic risk,"Piccotti, L.R. (Department of Finance, School of Business, University at Albany, State University of New York, Albany, NY  12222, United States)",https://dx.doi.org/10.1016/j.jbankfin.2017.01.012,https://dx.doi.org/10.1016/j.jbankfin.2017.01.012,scopus,2-s2.0-85011602067
"Shchepeleva, M.A.",Financial contagion: global transmission of systemic risk,"The article studies financial shock transmission mechanisms and cross-country linkages that make it possible. Given increased interconnections around the globe there is general agreement that in recent time financial system has become much more vulnerable to exogenous shocks. The main channels of transmission are trade and financial linkages among nations. The former are more traditional for developing countries while the latter-for developed markets. The appetite of global investors to risk, the level of uncertainty and information asymmetry in the global financial market are also important factors which can influence the magnitude of shock transmission. The article gives an overview of different methods to calculate the risks of financial shock transmission across countries including correlation and volatility analysis, contingent claims analysis, econometric models with a global factor and different types of VAR (VEC). Using the method of forecast error variance decomposition from a vector auto regression, first proposed by F. Diebold and K. Yilmaz to analyze stock markets interconnectedness, the author quantifies directions of financial shock spillovers in equity, government bond and real estate markets. This methodology was applied to 10 countries. It was found that US, Germany and France are the major transmitters of shocks to other countries. The point to a slight difference in the magnitude of transmission in different sectors: stock markets tend to suffer more from spillover effects while government bond markets are more sensitive to internal factors of instability. The article also discusses various approaches to global systemic risk modeling which is a new area of research in recent time. Regulatory reforms which began in the post-crisis period are considered to be a necessary condition to decrease the intensity of financial shocks transmission. Taking into account how fast the shocks spillover across countries, recovery from the recession requires in the first place coordinated policy actions among governments.",2017,2017-01-01,2,World Economy and International Relations,financial regulatory system; financial spillovers; systemic risk; transmission of financial shocks; variance decomposition,"Shchepeleva, M.A. (Bank of Russia, 12, Neglinnaya Str., Moscow, 107016, Russian Federation, MGIMO-University, 76, Vernadskogoprosp, Moscow, 119454, Russian Federation)",https://dx.doi.org/10.20542/0131-2227-2017-61-1-17-28,https://dx.doi.org/10.20542/0131-2227-2017-61-1-17-28,scopus,2-s2.0-85032949272
