Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,bib_src
"Torrente M.-L., Uberti P.",24402156100;35085534500;,Connectedness versus diversification: two sides of the same coin,2021,Mathematics and Financial Economics,15,3,,639,655,,4.0,10.1007/s11579-021-00291-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100817056&doi=10.1007%2fs11579-021-00291-4&partnerID=40&md5=fe681b3240555c054fda235f30cdd5f6,"Dipartimento di Economia, Università di Genova, Via Vivaldi 5, Genoa, 16126, Italy","Torrente, M.-L., Dipartimento di Economia, Università di Genova, Via Vivaldi 5, Genoa, 16126, Italy; Uberti, P., Dipartimento di Economia, Università di Genova, Via Vivaldi 5, Genoa, 16126, Italy","In the financial framework, the concepts of connectedness and diversification have been introduced and developed respectively in the context of systemic risk and portfolio theory. In this paper we propose a theoretical approach to bring to light the relation between connectedness and diversification. Starting from the respective axiomatic definitions, we prove that a class of proper measures of connectedness verifies, after a suitable functional transformation, the axiomatic requirements for a measure of diversification. The core idea of the paper is that connectedness and diversification are so deeply related that it is possible to pass from one concept to the other. In order to exploit such correspondence, we introduce a function, depending on the classical notion of rank of a matrix, that transforms a suitable proper measure of connectedness in a measure of diversification. We point out general properties of the proposed transformation function and apply it to a selection of measures of connectedness, such as the well-known Variance Inflation Factor. © 2021, The Author(s).",C60; Connectedness; D81; Diversification; E30; G01; G10; G11; Portfolio risk; Systemic risk,,"Torrente, M.-L.; Dipartimento di Economia, Via Vivaldi 5, Italy; email: marialura.torrente@economia.unige.it",,Springer Science and Business Media Deutschland GmbH,18629679,,,,English,Math. Financ. Econ.,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85100817056,scopus
"Purificato F., Sapienza E.",55701953100;36115327700;,Monetary policy and financial stability in the Economic and Monetary Union,2022,"Classical Economics, Keynes and Money: Essays in Honour of Carlo Panico",,,,269,292,,,10.4324/9781003105558-20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142096572&doi=10.4324%2f9781003105558-20&partnerID=40&md5=0ae9916d7215be1ab0052fb99585c245,"University of Naples Federico II, Italy; University of Naples Federico II, Italy","Purificato, F., University of Naples Federico II, Italy; Sapienza, E., University of Naples Federico II, Italy","Following the financial crisis, a new theoretical framework in which monetary policy aims at price stability and macro-prudential policy at financial stability is presented. In 2014, the European institutions established the Single Supervisory Mechanism (SSM) to pursue the objective of financial stability. The new institutional arrangement contemplates a micro-prudential policy under the direct control of the European central bank (ECB), a macro-prudential policy under the responsibility of National Competent Authorities (NCAs) and the supervision of the ECB. The chapter presents a survey and a simple analytical model to assess this new institutional design. Despite a still incomplete reform process, as the decision-making process lacks total transparency and the regulatory field is not levelled, the survey supports the view that the SSM promotes financial stability in the Euro area. According to the model presented, the new institutional framework is positively assessed: an increase in the efficiency of prudential policies to face financial risks allows the ECB to pursue the objective of financial stability without compromising output stability. As highlighted by Carlo Panico, this occurred in the Mexican economy, where the process of financial liberalisation promoted a rise in systemic risk, and the monetary policy aimed at financial stability generated lower growth. © 2023 selection and editorial matter, John Eatwell, Pasquale Commendatore and Neri Salvadori; individual chapters, the contributors.",,,,,Taylor and Francis,,9781000605914; 9780367615703,,,English,"Classical Economics, Keynes and Money: Essays in Honour of Carlo Panico",Book Chapter,Final,,Scopus,2-s2.0-85142096572,scopus
Zeldea C.,57216413242;,Modeling the connection between bank systemic risk and balance-sheet liquidity proxies through random forest regressions,2020,Administrative Sciences,10,3,52,,,,1.0,10.3390/admsci10030052,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120902828&doi=10.3390%2fadmsci10030052&partnerID=40&md5=ae675712b6862aba3f8fe7a5999ed429,"Doctoral School of International Business and Economics, Bucharest University of Economic Studies, Bucharest, 010374, Romania","Zeldea, C., Doctoral School of International Business and Economics, Bucharest University of Economic Studies, Bucharest, 010374, Romania","Balance-sheet indicators may reflect, to a great extent, bank fragility. This inherent relationship is the object of theoretical models testing for balance-sheet vulnerabilities. In this sense, we aim to analyze whether systemic risk for a sample of US banks can be explained by a series of balance-sheet variables, considered as proxies for bank liquidity for the 2004:1-2019:1 period. We first compute Marginal Expected Shortfall values for the entities in our sample and then imbed them into a Random Forest regression setup. Although we discover that feature importance is rather bank-specific, we notice that cash and available-for-sale securities are the most relevant factors in explaining the dynamics of systemic risk. Our findings emphasize the need for heightened prudential regulation of bank liquidity, particularly in what concerns cash and immediate liquidity instrument weights. Moreover, systemic risk could be consistently tamed by consolidating bank emergency liquidity provision schemes. © 2020 by the author. Licensee MDPI, Basel, Switzerland.",Balance-sheet data; Marginal Expected Shortfall; Random Forest regression; Systemic risk,,"Zeldea, C.; Doctoral School of International Business and Economics, Romania; email: zeldeacristina@gmail.com",,MDPI,20763387,,,,English,Adm. Sci.,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85120902828,scopus
"Lupu R., Lupu I., Stamule T., Roman M.",34979904500;35190725700;56624551200;55648265400;,ENTROPY AS LEADING INDICATOR FOR EXTREME SYSTEMIC RISK EVENTS,2022,Romanian Journal of Economic Forecasting,25,4,,58,73,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146395526&partnerID=40&md5=2605dbaceee693857e4d406f58e23212,"The Bucharest University of Economic Studies, Institute for Economic Forecasting, Bucharest, Romania; “Victor Slăvescu” Centre for Financial and Monetary Research, Bucharest, Romania; The Bucharest University of Economic Studies, Bucharest, Romania","Lupu, R., The Bucharest University of Economic Studies, Institute for Economic Forecasting, Bucharest, Romania; Lupu, I., “Victor Slăvescu” Centre for Financial and Monetary Research, Bucharest, Romania; Stamule, T., The Bucharest University of Economic Studies, Bucharest, Romania; Roman, M., The Bucharest University of Economic Studies, Bucharest, Romania","Ensuring financial stability is one of the main objectives of authorities supervising financial markets. Analyses of the extent to which critical destabilising events may materialise fuel their actions. Chief among these investigations is the attempt to identify leading indicators that could set forth early warning systems. This paper focuses on extreme systemic risk situations to document their dependence on market action present in the preceding time intervals. We use the N-BEATS model, which proved to be one of the best neural network tools to predict time series, detect anomalies (jumps) in the dynamics of CoVaR measures for the most liquid banks in the European markets, and measure the Shannon entropy of the power spectral density in samples that lead to these events. Employing several logistic regressions, we document the capacity of entropy to explain the realisation of these anomalies. © 2022, Institute for Economic Forecasting. All rights reserved.",anomaly detection tools; early warning systems; jumps,,"Lupu, R.; The Bucharest University of Economic Studies, Romania; email: radu.lupu@rei.ase.ro",,Institute for Economic Forecasting,15826163,,,,English,Rom. J. Econ. Forecast.,Article,Final,,Scopus,2-s2.0-85146395526,scopus
Gudelytė L.,57701115200;,On the resilience and the risk spillovers in innovation clusters,2021,International Journal of Economics and Business Research,21,1,,126,142,,2.0,10.1504/IJEBR.2021.112005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098172906&doi=10.1504%2fIJEBR.2021.112005&partnerID=40&md5=6406df04586030f1ca53f9ca6b7b7104,"Faculty of Business Management, Department of Financial Engineering, Vilnius Gediminas Technical University, Saulėtekio al. 11, Vilnius, LT-10223, Lithuania","Gudelytė, L., Faculty of Business Management, Department of Financial Engineering, Vilnius Gediminas Technical University, Saulėtekio al. 11, Vilnius, LT-10223, Lithuania","In this paper, we provide the determination of systemic risk in a networked structure that appears together with synergistic effect as a result of collaboration in innovation clusters. The interpretation of proposed conceptual model of evaluation of systemic risk can be at least twofold: core-periphery, business entities-R&D institutions, etc. The systemic risk is treated as a generalised risk impacting directly or non-directly the performance of an innovation cluster. The conceptual model of evaluation of systemic risk should be useful for understanding and further treatment of measuring risk in a case of innovation management. Also, the structure and further properties of systemic risk and contagion within innovation cluster are discussed in this paper. Copyright © 2021 Inderscience Enterprises Ltd.",Asymmetry; Business; Commercialisation; Contagion; Model of evaluation; Structure of innovation cluster; Systemic risk; Uncertainty,,"Gudelytė, L.; Faculty of Business Management, Saulėtekio al. 11, Lithuania; email: gudelyte.l@gmail.com",,Inderscience Publishers,17569850,,,,English,Int. J. Economics Business Research,Article,Final,,Scopus,2-s2.0-85098172906,scopus
"Long T.Q., Nguyen L.H., Morgan P.J.",57203819393;57289282600;52264423300;,DYNAMIC CONNECTEDNESS of FINANCIAL STRESS across ADVANCED and EMERGING ECONOMIES: EVIDENCE from TIME and FREQUENCY DOMAINS,2021,Singapore Economic Review,,,,,,,1.0,10.1142/S0217590821410125,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116647560&doi=10.1142%2fS0217590821410125&partnerID=40&md5=1c8c1bf15ca3651c65c08fd96adaee72,"Asian Development Bank Institute, Tokyo, Japan; Credit Risk Database Association, Tokyo, Japan","Long, T.Q., Asian Development Bank Institute, Tokyo, Japan; Nguyen, L.H., Credit Risk Database Association, Tokyo, Japan; Morgan, P.J., Asian Development Bank Institute, Tokyo, Japan","This study analyzes the dynamic connectedness (i.e., spillovers and spillbacks) of financial stress across advanced and emerging economies. As proxy for financial stress, we reconstruct the financial stress index (FSI) for 16 advanced economies and 15 emerging economies from January 1997 to August 2020. The constructed FSIs reflect combined stress level in banking sectors, equity markets, capital markets and exchange rate markets. Using frameworks proposed by Diebold and Yilmaz (Better to give than to receive: Predictive directional measurement of volatility spillovers. International Journal of Forecasting, 28(1), 57-66) and Baruník and Křehlík (Measuring the frequency dynamics of financial connectedness and systemic risk. Journal of Financial Econometrics, 16(2), 271-296), we find that there is strong connectedness of financial stress across economies. Moreover, the connectedness of the financial stress is stronger after the global financial crisis and during the COVID-19 pandemic. Although the spillover of shocks is strongest in the short-term horizon, the spillovers in the longer-term horizons are not trivial. Our results also show that the US is the largest shock transmitter as well as one of the largest shock receivers. Our results also suggest that shocks originating in advanced economies have strong effects on other economies, but shocks originating in emerging economies also play an increasing role. Global factors such as global economic policy uncertainty and geopolitical risks influence the magnitude of the spillover of financial stress. © 2021 World Scientific Publishing Company.",dynamic connectedness; emerging markets; Financial stress index; frequency domain; spillovers; time domain,,"Long, T.Q.; Asian Development Bank InstituteJapan; email: tqlongvn@gmail.com",,World Scientific,02175908,,,,English,Singap. Econ. Rev.,Article,Article in Press,,Scopus,2-s2.0-85116647560,scopus
"Yan X., Zhang S., Hu J., Weng W., Wang L.",57225993142;55713764600;57199691609;57758636000;57894523400;,Key Points-in-Time Identification of Gold Futures Market: A Complex Network Approach,2023,Fluctuation and Noise Letters,,,2340004,,,,,10.1142/S0219477523400047,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149215821&doi=10.1142%2fS0219477523400047&partnerID=40&md5=c8c5e1f1e1905a6e533a4c819b584acb,"Department of Statistics and Finance, School of Management, Center for Financial Security Studies, International Institute of Finance, University of Science and Technology of China, ANHUI, Hefei, China; Department of Statistics and Finance, School of Management, University of Science and Technology of China, Hefei, ANHUI, China; School of Economics and Management, Fuzhou University, Fuzhou, 350108, China; College of Economics and Management, Nanjing University of Aeronautics and Astronautics, Nanjing, 211106, China","Yan, X., Department of Statistics and Finance, School of Management, Center for Financial Security Studies, International Institute of Finance, University of Science and Technology of China, ANHUI, Hefei, China; Zhang, S., Department of Statistics and Finance, School of Management, University of Science and Technology of China, Hefei, ANHUI, China; Hu, J., School of Economics and Management, Fuzhou University, Fuzhou, 350108, China; Weng, W., School of Economics and Management, Fuzhou University, Fuzhou, 350108, China; Wang, L., College of Economics and Management, Nanjing University of Aeronautics and Astronautics, Nanjing, 211106, China","Important nodes can determine the internal structure of complex networks and reveal the internal relationships of real-world systems, and identifying key nodes in complex networks is one of the important research areas of complex network science. As the king of commodities, changes in the price of gold significantly impact the economic development of various countries. Especially in the early stages of the outbreak of war between Russia and Ukraine, the price of gold futures has been greatly impacted, and the systemic risks are gradually spreading. In this paper, a gold future price series is mapped into a visibility graph (VG), the characteristics of the gold price time series and key points-in-Time, have been explored from the perspective of complex network. First, according to the data structure characteristics of gold futures, this paper converts the closing prices of gold futures of the New York Mercantile Exchange into a complex network through the VG model. Then, by using the complex network model to further delve into the price of gold futures, it is found that the degree distribution of the gold futures network follows a power-law distribution, and has obvious scale-free characteristics. Finally, this paper uses the visual network node shrinking algorithm and the technique for order preference by similarity to ideal solution (TOPSIS) analysis method to identify the key nodes of the gold futures visual map to find the key time nodes in the timeline of gold futures market. Analysis of the key time nodes of this market by four methods reveals that the repetition rate of the key time nodes in the methods' top 10 ranking is as high as 82.5%, indicating that the results obtained in this paper are robust. This study introduces a new model to describe the characteristics of gold futures price series, one which can find key time nodes in gold futures prices and provide potential help for predicting gold futures prices. © 2023 World Scientific Publishing Company.",gold futures; network node shrinking algorithm; TOPSIS; Visibility graph,,"Wang, L.; College of Economics and Management, China; email: wanglubing1014@163.com",,World Scientific,02194775,,,,English,Fluctuation Noise Lett.,Article,Article in Press,,Scopus,2-s2.0-85149215821,scopus
"Krause S.M., Štefančić H., Caldarelli G., Zlatić V.",7102584529;8408958700;55139905100;15049080200;,Controlling systemic risk: Network structures that minimize it and node properties to calculate it,2021,Physical Review E,103,4,042304,,,,2.0,10.1103/PhysRevE.103.042304,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104426535&doi=10.1103%2fPhysRevE.103.042304&partnerID=40&md5=9204f394f65c0914b0c19e2bbb9f2a92,"Division of Theoretical Physics, Rudjer Bošković Institute, Zagreb, 10000, Croatia; Faculty of Physics, University of Duisburg-Essen47057, Germany; Catholic University of Croatia, Ilica 242, Zagreb, 10000, Croatia; Dsmn, University of Venice Ca'Foscari, Via Torino 155, Venezia Mestre, 30172, Italy; Eclt, Ca'Bottacin Dorsoduro 3911, Calle Crosera, Venice, 30123, Italy; London Institute for Mathematical Sciences, Royal Institution, 21 Albemarle Street, London, W1S 4BS, United Kingdom; Imt, Piazza San Francesco 19, Lucca, 55100, Italy","Krause, S.M., Division of Theoretical Physics, Rudjer Bošković Institute, Zagreb, 10000, Croatia, Faculty of Physics, University of Duisburg-Essen47057, Germany; Štefančić, H., Catholic University of Croatia, Ilica 242, Zagreb, 10000, Croatia; Caldarelli, G., Dsmn, University of Venice Ca'Foscari, Via Torino 155, Venezia Mestre, 30172, Italy, Eclt, Ca'Bottacin Dorsoduro 3911, Calle Crosera, Venice, 30123, Italy, London Institute for Mathematical Sciences, Royal Institution, 21 Albemarle Street, London, W1S 4BS, United Kingdom, Imt, Piazza San Francesco 19, Lucca, 55100, Italy; Zlatić, V., Division of Theoretical Physics, Rudjer Bošković Institute, Zagreb, 10000, Croatia","Evaluation of systemic risk in networks of financial institutions in general requires information of interinstitution financial exposures. In the framework of the DebtRank algorithm, we introduce an approximate method of systemic risk evaluation which requires only node properties, such as total assets and liabilities, as inputs. We demonstrate that this approximation captures a large portion of systemic risk measured by DebtRank. Furthermore, using Monte Carlo simulations, we investigate network structures that can amplify systemic risk. Indeed, while no topology in general sense is a priori more stable if the market is liquid (i.e., the price of transaction creation is small) [T. Roukny et al., Sci. Rep. 3, 2759 (2013)10.1038/srep02759], a larger complexity is detrimental for the overall stability [M. Bardoscia et al., Nat. Commun. 8, 14416 (2017)10.1038/ncomms14416]. Here we find that the measure of scalar assortativity correlates well with level of systemic risk. In particular, network structures with high systemic risk are scalar assortative, meaning that risky banks are mostly exposed to other risky banks. Network structures with low systemic risk are scalar disassortative, with interactions of risky banks with stable banks. © 2021 American Physical Society.",,Monte Carlo methods; Approximate methods; Exposed to; Financial institution; In networks; Network structures; Overall stabilities; Systemic risks; Risk assessment; article; assortativity; Monte Carlo method; price; risk assessment,,,American Physical Society,24700045,,,34005874.0,English,Phys. Rev. E,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85104426535,scopus
"Hao H., Xing W., Wang A., Song H., Han Y., Zhao P., Xie Z., Chen X.",57712922100;56070809200;14826036900;57857713000;57222747506;57559227500;57858786000;57857355000;,Multi-layer networks research on analyzing supply risk transmission of lithium industry chain,2022,Resources Policy,79,,102933,,,,2.0,10.1016/j.resourpol.2022.102933,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136551142&doi=10.1016%2fj.resourpol.2022.102933&partnerID=40&md5=57e85393a2865ca65c2793cc8f0e88ca,"School of Earth Sciences and Resources, China University of Geosciences, Beijing, China; Development Research Center of China Geological Survey, Beijing, 100037, China; Research Center for Strategy of Global Mineral Resources, Chinese Academy of Geological Sciences, Beijing, China; School of Economics and Management, Zhejiang Sci-Tech University, Hangzhou, China; Teacher's College, Beijing Union University, Beijing, China","Hao, H., School of Earth Sciences and Resources, China University of Geosciences, Beijing, China, Research Center for Strategy of Global Mineral Resources, Chinese Academy of Geological Sciences, Beijing, China; Xing, W., Development Research Center of China Geological Survey, Beijing, 100037, China; Wang, A., Research Center for Strategy of Global Mineral Resources, Chinese Academy of Geological Sciences, Beijing, China; Song, H., School of Earth Sciences and Resources, China University of Geosciences, Beijing, China; Han, Y., School of Economics and Management, Zhejiang Sci-Tech University, Hangzhou, China; Zhao, P., Teacher's College, Beijing Union University, Beijing, China; Xie, Z., School of Earth Sciences and Resources, China University of Geosciences, Beijing, China; Chen, X., School of Earth Sciences and Resources, China University of Geosciences, Beijing, China, Research Center for Strategy of Global Mineral Resources, Chinese Academy of Geological Sciences, Beijing, China","Lithium is crucial for low-carbon economic transformation, which presents a strong growth in demand worldwide. To explore the foreseeable and hidden systemic risks in the trade network, the article integrates virus transmission theory with complex network theory to analyze the mechanism of risk transmission in the trade network system of the lithium industry chain. This paper constructs multi-layer risk transmission networks (MRTN) based on the lithium industry chain to simulate the dynamic process of risk transmission along the industrial chain and evaluate the extent and path of risk transmission. The results show that the risk transmission in the lithium trade network system belongs to “minority communication” and is of a “robust-yet-fragile” characterization. Diversified trade relationships increase network flexibility and anti-risk capabilities of countries in the network but also decrease the leaderships of some hub countries. During the transmission process, there are four patterns: direct contact transmission, indirect contact transmission, nucleus transmission, and spatial transmission. The finding can serve for decision-makers to seek effective strategies to build a more resilient trade system and hence improve lithium supply security and efficiency. © 2022 Elsevier Ltd",Complex network; Lithium industry chain; Multi-layer networks; Risk transmission; The foreseeable risk,Commerce; Decision making; Lithium; Network layers; Risks; Viruses; Economic transformation; Industry chain; Lithium industry chain; Low-carbon economic; Multi-layer network; Network systems; Risk transmission; Strong growth; Supply risk; The foreseeable risk; Complex networks; lithium; network analysis; research; risk assessment; supply chain management; trade,"Xing, W.; Development research Center of China Geological Survey, No.45 Fuwai street, Xicheng District, China; email: rock198699@163.com
Wang, A.; Institute of Mineral Resources, No. 26 Baiwanzhuang Street, China; email: ajwang@cags.ac.cn",,Elsevier Ltd,03014207,,,,English,Resour. Policy,Article,Final,,Scopus,2-s2.0-85136551142,scopus
"Nekhili R., Giannopoulos K.",14052423200;6603157105;,Brexit and the dependence structure among the G7 bank equity markets,2020,Investment Management and Financial Innovations,17,2,,231,239,,1.0,10.21511/imfi.17(2).2020.18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089365545&doi=10.21511%2fimfi.17%282%29.2020.18&partnerID=40&md5=138ca1d01909fe7a24d82023ba4e370b,"College of Administrative Sciences, Applied Science University, Bahrain; Neapolis University, Pafos, Cyprus","Nekhili, R., College of Administrative Sciences, Applied Science University, Bahrain; Giannopoulos, K., Neapolis University, Pafos, Cyprus","The UK referendum in June 2016 on leaving the European Union had a negative impact on banking stocks across the major financial markets. This has left with a question dealing with the effect of UK banking institutions on the systemic risk on a global scale. This paper aims at investigating the changes in the dependence structure between the UK bank equity returns and its counterparts in the G7 economies. The methodology used is based on the GJR-GARCH volatility spillover model that accounts for asymmetry and leverage, and copula for the time-varying correlation structure among G7 banks. Taking the data on bank equity return indices for G7 economies, the results indicate the symmetric dependence structure between the UK and Italian banks and the asymmetric dependence between the UK and the rest of G7 banks. This is due to the simultaneous decline in bank shares prices across the Union. Such results are important constituents for cross-country portfolio diversification. © 2020 LLC CPC Business Perspectives. All rights reserved.",Copula; Time-varying correlation; Volatility asymmetry,,,,LLC CPC Business Perspectives,18104967,,,,English,Investm. Manange. Financ. Innov.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85089365545,scopus
"Boako G., Alagidede P.",56728816600;23970253600;,Systemic Risks Spillovers and Interdependence among Stock Markets: International Evidence with Covar-Copulas,2018,South African Journal of Economics,86,1,,82,112,,15.0,10.1111/saje.12182,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039718427&doi=10.1111%2fsaje.12182&partnerID=40&md5=754efc3769a431f8cbc754de2b691755,"Department of Accounting and Finance, Kwame Nkrumah University of Science and Technology, Ghana; Wits Business School, 2 ST David's Place, University of the Witwatersrand Graduate School of Business, South Africa; African Finance and Economics Consult (AFEC), France","Boako, G., Department of Accounting and Finance, Kwame Nkrumah University of Science and Technology, Ghana, African Finance and Economics Consult (AFEC), France; Alagidede, P., Wits Business School, 2 ST David's Place, University of the Witwatersrand Graduate School of Business, South Africa, African Finance and Economics Consult (AFEC), France","Empirical studies have provided ample evidence on the potential benefits of international diversification with portfolios that consist of both domestic and foreign assets. This coupled with sudden and periodic crashes in global and developed equity markets have stimulated the interest of investors to diversify across markets that have the potential to provide decorrelation with global markets during turbulent periods. At the same time, international diversification may intensify cross-border listing of stocks with its antecedent implication of shocks transmission. The above have engendered renewed interest among researchers to explore the dependence levels and spillover effects of shocks among emerging and developed equity markets. This paper examines tail dependence structure and (extreme) systemic risks spillover effects among international equity markets using advanced econometric techniques that underpin the modelling of asset returns. We find evidence of low positive significant dependencies between all African markets and their developed counterparts, except for Egypt. Although no evidence of spillover effects to the markets in Africa was found, both unidirectional and bi-directional causality between some African and developed equity markets is found, albeit with differences. We are unable to ascribe the dynamics in the causality structure to level of market integration. It is inferred that the degree of individual local markets interdependence with developed counterparts may reflect the relative size, liquidity and degree of foreign investors' participation. © 2017 Economic Society of South Africa.",Africa; CoVaR-copula; equity markets; spillover effects; systemic risk,capital flow; capital market; covariance analysis; equity; spillover effect; stock market; Africa,"Boako, G.; Department of Accounting and Finance, Ghana; email: gboako@gmail.com",,Blackwell Publishing Ltd,00382280,,,,English,S. Afr. J. Econ.,Article,Final,,Scopus,2-s2.0-85039718427,scopus
"Alaminos D., Salas M.B.",57192061042;57214868441;,"Tourism Stock Prices, Systemic Risk and Tourism Growth: A Kalman Filter with Prior Update DSGE-VAR Model",2023,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),13589 LNAI,,,167,181,,,10.1007/978-3-031-23480-4_14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149665148&doi=10.1007%2f978-3-031-23480-4_14&partnerID=40&md5=142ef5d5a9521443c8002df0e3a36514,"Department of Business, Universitat de Barcelona, Barcelona, Spain; Department of Finance and Accounting, Universidad de Málaga, Málaga, Spain; Cátedra de Economía Y Finanzas Sostenibles, Universidad de Málaga, Málaga, Spain","Alaminos, D., Department of Business, Universitat de Barcelona, Barcelona, Spain; Salas, M.B., Department of Finance and Accounting, Universidad de Málaga, Málaga, Spain, Cátedra de Economía Y Finanzas Sostenibles, Universidad de Málaga, Málaga, Spain","Dynamic Stochastic General Equilibrium (DSGE) and Vector Autoregressive (VAR) models allow for probabilistic estimations to formulate macroeconomic policies and monitor them. One of the objectives of creating these models is to explain and understand financial fluctuations through a consistent theoretical framework. In the tourism sector, stock price and systemic risk are key financial variables in the international transmission of business cycles. Advances in Bayesian theory are providing an increasing range of tools that researchers can employ to estimate and evaluate DSGE and VAR models. One area of interest in previous literature has been to design a Bayesian robust filter, that performs well concerning an uncertainty class of possible models compatible with prior knowledge. In this study, we propose to apply the Bayesian Kalman Filter with Prior Update (BKPU) in a tourism field to increase the robustness of DSGE and VAR models built for small samples and with irregular data. Our results indicate that BKPU improves the estimation of these models in two aspects. Firstly, the accuracy levels of the computing of the Markov Chain Monte Carlo model are increased, and secondly, the cost of the resources used is reduced due to the need for a shorter run time. Our model can play an essential role in the monetary policy process, as central bankers could use it to investigate the relative importance of different macroeconomic shocks and the effects of tourism stock prices and achieve a country´s international competitiveness and trade balance for this sector. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Bayesian kalman filter; Dynamic stochastic general equilibrium; Markov chain monte carlo; Prior update; Systemic risk; Tourism stock prices; Volatility,Computation theory; Costs; Economics; Markov processes; Monte Carlo methods; Stochastic models; Stochastic systems; Value engineering; Bayesian; Bayesian kalman filter; Dynamic stochastic general equilibrium; General equilibrium; Markov chain Monte Carlo; Markov Chain Monte-Carlo; Prior update; Stochastics; Stock price; Systemic risks; Tourism stock price; Tourism stocks; Volatility; Kalman filters,"Alaminos, D.; Department of Business, Spain; email: alaminos@ub.edu",Rutkowski L.Rutkowski L.Scherer R.Korytkowski M.Pedrycz W.Tadeusiewicz R.Zurada J.M.,Springer Science and Business Media Deutschland GmbH,03029743,9783031234798,,,English,Lect. Notes Comput. Sci.,Conference Paper,Final,"All Open Access, Green",Scopus,2-s2.0-85149665148,scopus
